Cues,Targets,Sample Size,Count
DECORATION,HOLIDAY,94,4
CORPORAL,PUNISHMENT,94,1
DISCOURAGE,PESSIMISM,94,1
SURFACE,EXTERNAL,94,14
BOND,CONNECT,94,2
FREEZE,ICICLY,94,1
ENTERTAINMENT,HOLLYWOOD,94,6
ACQUIRE,POSSESS,94,2
DIRECT,LEAD,94,10
FORBIDDEN,ILLEGAL,94,7
ACQUIRE,COLLECT,94,4
FENCE,GATE,94,1
DOMAIN,EMPIRE,94,1
LIVING,EXISTING,94,3
RADIO,STATION,94,1
IMPORTANT,CRITICAL,94,7
BULLY,MEAN,94,6
ANGLE,DIRECTION,94,1
RURAL,FARMING,94,4
BOIL,HIGH,94,1
ANGLE,GEOMETRY,94,5
BOND,UNITE,94,1
BLUFF,PRETEND,94,2
DOMAIN,REALM,94,4
ASSUME,IMAGINE,94,1
ROPE,CORD,94,4
BASIC,ESSENTIAL,94,1
INSURANCE,HEALTH,94,1
SOUTHERN,ALABAMA,94,1
SOUTHERN,SOUTH,94,1
CLERK,SALES,94,2
ALARM,DISTRESS,94,1
BLUFF,BLUFF,94,1
PLAYING,FUN,94,1
ROPE,TETHER,94,5
STRANGE,BIZARRE,94,1
SOUTHERN,COUNTRY,94,1
POLICE,ENFORCE,94,2
INCLINE,STEEP,94,2
ROPE,CLIMB,94,3
ROOF,HOUSE,94,3
BOND,FRIENDSHIP,94,12
CIGAR,CUBAN,94,1
SUN,LUMINOUS,94,1
BRIEF,QUICK,94,1
SAVE,PRESERVE,94,1
PEANUT BUTTER,SPREADS,94,1
INSURANCE,SAFETY,94,2
SEPARATE,APART,94,3
SUN,ORB,94,1
RELIABLE,TRUSTY,94,1
PENCIL,GRAPHITE,94,4
DIRECT,ORIENT,94,3
BLUFF,MISLEAD,94,3
ASSUME,SUPPOSE,94,1
ROPE,HANG,94,1
SURFACE,SKIN,94,6
ATTACK,OFFENSE,94,2
FEMALE,WOMEN,94,1
BASIC,FOUNDATION,94,1
BAPTIST,FAITH,94,1
STOP,OBEY,94,1
STARS,CONSTELLATION,94,2
ECONOMY,MONEY,94,2
SEASON,FALL,94,1
DECORATION,FESTIVITY,94,2
ANGLE,DIMENSION,94,1
PENCIL,DRAWING,94,3
SOUTHERN,SOUTHERNERS,94,1
FLEA,PEST,94,2
CALIFORNIA,SACRAMENTO,94,1
POLICE,SERGEANT,94,1
CAUTION,WARN,94,4
STOP,PROHIBIT,94,1
BULLY,OPPRESSOR,94,1
ACQUIRE,GAIN,94,3
ACTIVITY,EVENT,94,1
GRADUATE,ALUMNUS,94,1
STRICT,STERN,94,1
FLOAT,AIRBORNE,94,1
FISHING,WONDERING,94,1
CLERK,SALESPEOPLE,94,1
FLOAT,LEVITATE,94,4
ACTIVITY,GAME,94,1
SEPARATE,SPLIT,94,1
PEANUT BUTTER,SPREADABLE,94,1
FISHING,HOBBY,94,5
DOMAIN,INTERNET,94,2
DENT,HOLE,94,2
EDGE,BOUNDARY,94,3
CALIFORNIA,SUNSHINE,94,2
ATTACK,STRIKE,94,2
ACTIVITY,ACTION,94,1
FORBIDDEN,UNLAWFUL,94,1
ASSUME,EXPECT,94,3
FLUSH,PLUMBING,94,1
LIGHT,ILLUMINATION,94,4
INSURANCE,PROTECT,94,1
ACTIVITY,VERB,94,1
BOND,PROMISE,94,1
FLOAT,BUOYANCY,94,4
FRIENDSHIP,COMPANIONSHIP.,94,1
RECIPE,INGREDIENTS,94,2
CREW,ASSOCIATE,94,1
ASSUME,PREDICT,94,3
PUKE,NAUSEA,94,2
FLUSH,DRAIN,94,2
IMPORTANT,PRIORITY,94,1
RECIPE,RECIPE,94,1
ACTIVITY,ENJOYMENT,94,1
POLICE,INSPECT,94,1
ECONOMY,MARKET,94,2
SHOWER,BATH,94,3
SURFACE,OUTER,94,1
SAVE,PROTECT,94,2
ACTIVITY,RECREATION,94,1
POLICE,LAWENFORCEMENT,94,1
STARS,NIGHTSKY,94,2
FLOAT,BUOYANT,94,1
BRIEF,ESSAY,94,1
ROOF,SHADE,94,1
ACTIVITY,HUSTLE,94,1
FREEZE,FROST,94,1
BAPTIST,CHURCH,94,5
FREQUENT,REPEATED,94,1
EYEBALL,GAZE,94,1
FLOAT,BOUOY,94,1
DENT,HURT,94,1
BRIEF,SYNOPSIS,94,1
STRICT,SERIOUS,94,1
SEASON,SUMMER,94,2
ECONOMY,BUSINESS,94,1
SHOWER,BATHROOM,94,1
DISCOURAGE,DISAPPROVE,94,1
PUKE,ILLNESS,94,1
BASIC,MINIMAL,94,1
LIGHT,DARKNESS,94,1
SUICIDE,HOMICIDE,94,1
FISHING,WATERFRONT,94,1
SOUTHERN,HOSPITALITY,94,2
ATTACK,VIOLENCE,94,1
STOP,PAUSE,94,2
SEPARATE,DIVISION,94,1
CUSS,SWEARING,94,1
ECONOMY,INFLATION,94,2
BOIL,FEVER,94,2
CATERPILLAR,LARVA,94,1
NEIGHBOR,RELATIVE,94,1
KING,RULER,94,2
PENCIL,DOODLE,94,1
SOUTHERN,TEXAN,94,1
ACTIVITY,GAMES,94,1
ACTIVITY,ENGAGE,94,1
ENTERTAINMENT,CIRCUS,94,1
DENT,REPAIR,94,2
LIVING,HABITAT,94,1
SUICIDE,DEPRESS,94,4
FISHING,RECREATION,94,1
FLOAT,SAIL,94,1
FRIENDSHIP,COMRADERY,94,1
PIGMENT,COLOUR,94,3
PENCIL,ERASER,94,1
CUSS,SHOUT,94,1
ACTIVITY,RUNNING,94,1
BOND,SECRET,94,1
ANXIOUS,WORRY,94,3
FENCE,BORDER,94,1
DISCOURAGE,NEGATIVITY,94,1
ATTACK,BATTLE,94,2
ACTIVITY,LEISURE,94,1
IMAGINATION,DREAM,94,2
DIRECT,TELEVISION,94,1
FRIGHTENED,SCARE,94,4
CAUTION,SAFETY,94,1
BURIAL,GRAVE,94,1
FRIENDSHIP,PARTNERSHIP,94,1
SUICIDE,TRAGIC,94,1
CLERK,STOREKEEPER,94,1
FEMALE,FEMALE,94,1
GRADUATE,SCHOLARSHIP,94,1
FRIENDSHIP,FRIENDSHIP,94,2
SEASON,CHANGE,94,1
FENCE,PRIVACY,94,2
FISHING,HOOK,94,1
ACTIVITY,MOTION,94,3
FEMALE,GENDER,94,2
POLICE,PROTECT,94,1
FLEA,TINY,94,1
CALIFORNIA,LA,94,1
DECISION,JUDGEMENT,94,2
ATTACK,COMBAT,94,1
CLERK,RECEPTIONIST,94,1
CONSIDER,REEVALUATE,94,1
CLERK,SALESPERSON,94,2
SOUTHERN,CULTURE,94,1
BOND,JAMES,94,3
FREQUENT,PERIODIC,94,1
JOY,HAPPY,94,1
SUN,HOT,94,1
ENTERTAINMENT,PERFORMANCE,94,1
FLOAT,LEVITY,94,1
PENCIL,WRITING,94,1
BLUFF,BLUFFER,94,1
ALARM,BELL,94,1
BLUFF,CHEAT,94,1
FORBIDDEN,RESTRICT,94,1
PRIM,NEAT,94,2
FLUSH,CLEAN,94,1
SUN,RADIANT,94,1
DENT,DECAY,94,1
FLOAT,BALLOON,94,1
BOIL,SIZZLE,94,1
ATTACK,CONFLICT,94,1
FEMALE,FEMININE,94,1
RURAL,VILLAGE,94,1
ASSUME,CONCLUDE,94,1
ROPE,TIGHTEN,94,1
STOP,HAMMER,94,1
EYEBALL,IRIS,94,1
ASTEROID,COMET,94,1
SAVE,CONSERVE,94,1
CATERPILLAR,BUG,94,1
FORBIDDEN,NOT ALLOWED,94,1
FLOAT,RISE,94,1
EDGE,RISK,94,1
CLERK,ACCOUNTANT,94,1
BRANDY,WHISKEY,94,1
FISHING,POLE,94,1
SOUTHERN,GEORGIA,94,1
ATTACK,FIGHT,94,1
FLOAT,BOUYANCY,94,1
FRIENDSHIP,ALLIANCE,94,1
LIGHT,SHINE,94,1
FREEZE,SOLIDIFY,94,1
FLEA,TICK,94,1
BOIL,INFECTION,94,1
SUN,BURN,94,1
ABILITY,CAPABLE,94,1
FLOAT,RAFT,94,1
SOUTHERN,SOUTHERN,94,2
KING,QUEEN,94,1
DIRECT,CONTROL,94,1
BOND,MISSION,94,1
MINK,FURRY,94,1
CALIFORNIA,SANFRANCISCO,94,1
FLUSH,WHIRLPOOL,94,1
GOODBYE,GOODNIGHT,94,1
IMPORTANT,URGENT,94,1
BULLY,FEAR,94,1
SOUTHERN,SOUTHSIDE,94,1
POLICE,SECURITY,94,1
FRIGHTENED,TERROR,94,1
FREQUENT,REPEAT,94,1
ASTEROID,COSMIC,94,1
FLOAT,FLY,94,1
FIN,FIN,94,1
DIRECT,FORWARD,94,1
CONSIDER,REGARD,94,1
SUN,BRIGHTNESS,94,1
