,Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,# Mediated Associates,# Potential Non-Normed Mediators,Shared Associate Strength,# Shared Associates,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Cue Concreteness(Scale 1-7),Cue Homograph? (Letter=Yes),Cue Part of Speech,Mean Cue Connectivity,Cue Connectivity Strength,Cue Resonance Probability,Cue Resonance Strength,Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F),Target Concreteness(Scale 1-7),Target Homograph? (Letter=Yes),Target Part of Speech,Mean Target Connectivity,Target Connectivity Strength,Target Resonance Probability,Target Resonance Strength,# of Other Associate Links to Target,Strength of Other Associate Links to Target
61,ABILITY,KNOWLEDGE,YES,143.0,2.0,0.014,0,0.005,3.0,4.0,0.0008,1.0,22.0,13.0,0.329,74.0,2.03,,N,2,2.85,0.5,1.87,14,12,0.786,145,1.56,,N,2.85,4.77,0.69,1.67,missing,missing
62,ABILITY,MIND,YES,143.0,2.0,0.014,0,0.0,0.0,4.0,0.0,0.0,22.0,17.0,0.623,74.0,2.03,,N,2,2.85,0.5,1.87,10,9,0.756,325,2.6,N,N,1.67,1.92,0.78,1.46,missing,missing
63,ABILITY,PHYSICAL,YES,143.0,2.0,0.014,0,0.0,1.0,4.0,0.0019,2.0,22.0,14.0,0.539,74.0,2.03,,N,2,2.85,0.5,1.87,17,12,0.651,138,missing,,AJ,1.21,1.42,0.29,1.21,missing,missing
64,ABILITY,POTENTIAL,YES,143.0,3.0,0.021,0.089,0.007,1.0,4.0,0.0034,3.0,22.0,14.0,0.448,74.0,2.03,,N,2,2.85,0.5,1.87,25,18,0.424,67,1.9,,AJ,1.32,2.81,0.14,1.12,1,0.056
65,ABILITY,POWER,YES,143.0,5.0,0.035,0,0.005,1.0,4.0,0.0088,1.0,22.0,16.0,0.546,74.0,2.03,,N,2,2.85,0.5,1.87,22,21,0.635,342,3.32,G,N,1.32,4.29,0.41,1.53,missing,missing
66,ABILITY,SKILL,YES,143.0,8.0,0.056,0.102,0.004,2.0,4.0,0.0071,3.0,22.0,13.0,0.455,74.0,2.03,,N,2,2.85,0.5,1.87,21,17,0.414,42,3.24,,N,2.05,4.39,0.19,1.28,2,0.104
67,ABILITY,SPORT,YES,143.0,2.0,0.014,0,0.003,2.0,4.0,0.0006,1.0,22.0,15.0,0.595,74.0,2.03,,N,2,2.85,0.5,1.87,12,11,0.757,17,4.18,,N,1.83,2.07,0.5,1.59,missing,missing
68,ABILITY,STRENGTH,YES,143.0,8.0,0.056,0.028,0.01,4.0,4.0,0.0032,1.0,22.0,13.0,0.399,74.0,2.03,,N,2,2.85,0.5,1.87,9,6,0.715,136,2.9,,N,1.75,1.7,0.75,1.6,4,0.231
69,ABILITY,TALENT,YES,143.0,5.0,0.035,0.048,0.015,3.0,4.0,0.005,1.0,22.0,14.0,0.406,74.0,2.03,,N,2,2.85,0.5,1.87,16,14,0.644,40,2.88,,N,1.75,2.16,0.31,1.29,3,0.239
70,ABILITY,TO,NO,143.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,22.0,18.0,0.637,74.0,2.03,,N,2,2.85,0.5,1.87,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
71,ABILITY,UNABLE,NO,143.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,22.0,18.0,0.637,74.0,2.03,,N,2,2.85,0.5,1.87,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
72,ABILITY,WORK,YES,143.0,2.0,0.014,0,0.002,3.0,4.0,0.0,0.0,22.0,14.0,0.504,74.0,2.03,,N,2,2.85,0.5,1.87,19,19,0.768,760,3.88,N,N,1.63,3.11,0.68,3.01,missing,missing
456,ACQUIRE,ACCUMULATE,YES,146.0,6.0,0.041,0.026,0.0,0.0,1.0,0.0061,4.0,17.0,11.0,0.679,27.0,missing,,V,2.94,4.52,0.25,1.11,20,13,0.502,3,missing,,V,1.67,2.63,0.06,1.04,0,0
457,ACQUIRE,ASK,YES,146.0,3.0,0.021,0,0.0,0.0,1.0,0.0113,2.0,17.0,13.0,0.379,27.0,missing,,V,2.94,4.52,0.25,1.11,17,14,0.756,128,2.48,,V,1.19,3.74,0.31,1.7,missing,missing
458,ACQUIRE,BUY,YES,146.0,3.0,0.021,0,0.005,4.0,1.0,0.0065,3.0,17.0,11.0,0.357,27.0,missing,,V,2.94,4.52,0.25,1.11,13,10,0.71,70,3.61,,V,2.38,3.98,0.69,2.5,missing,missing
459,ACQUIRE,COLLECT,YES,146.0,3.0,0.021,0,0.007,1.0,1.0,0.0078,3.0,17.0,11.0,0.317,27.0,missing,,V,2.94,4.52,0.25,1.11,18,13,0.62,16,missing,G,V,1.19,2.96,0.25,1.42,missing,missing
460,ACQUIRE,GAIN,YES,146.0,8.0,0.055,0.016,0.002,2.0,1.0,0.0095,1.0,17.0,12.0,0.297,27.0,missing,,V,2.94,4.52,0.25,1.11,10,8,0.818,74,3.21,,V,1.2,1.98,0.5,1.47,2,0.061
461,ACQUIRE,GET,YES,146.0,58.0,0.397,0.039,0.031,8.0,1.0,0.0118,6.0,17.0,6.0,0.172,27.0,missing,,V,2.94,4.52,0.25,1.11,23,15,0.376,750,2.86,G,V,2.59,5.24,0.46,2.51,8,0.988
462,ACQUIRE,HAVE,YES,146.0,2.0,0.014,0,0.025,4.0,1.0,0.021,4.0,17.0,10.0,0.283,27.0,missing,,V,2.94,4.52,0.25,1.11,15,11,0.489,3941,2.44,,V,1.93,4.2,0.33,1.4,missing,missing
463,ACQUIRE,INHERIT,NO,146.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,17.0,16.0,0.824,27.0,missing,,V,2.94,4.52,0.25,1.11,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
464,ACQUIRE,KNOWLEDGE,YES,146.0,6.0,0.041,0,0.0,0.0,1.0,0.0,0.0,17.0,15.0,0.783,27.0,missing,,V,2.94,4.52,0.25,1.11,14,13,0.8,145,1.56,,N,2.85,4.77,0.69,1.67,missing,missing
465,ACQUIRE,MONEY,YES,146.0,2.0,0.014,0,0.018,8.0,1.0,0.0013,2.0,17.0,7.0,0.241,27.0,missing,,V,2.94,4.52,0.25,1.11,19,16,0.667,265,5.77,,N,1.39,2.91,0.89,5.53,missing,missing
466,ACQUIRE,OBTAIN,YES,146.0,5.0,0.034,0.021,0.021,4.0,1.0,0.1974,7.0,17.0,7.0,0.2,27.0,missing,,V,2.94,4.52,0.25,1.11,16,8,0.139,42,2.88,,V,3.44,4.89,0.25,1.11,4,0.095
467,ACQUIRE,OWN,YES,146.0,3.0,0.021,0,0.003,1.0,1.0,0.0035,2.0,17.0,13.0,0.768,27.0,missing,,V,2.94,4.52,0.25,1.11,16,14,0.554,772,3.05,,AJ,1.94,4,0.5,1.85,missing,missing
468,ACQUIRE,RECEIVE,YES,146.0,4.0,0.027,0,0.051,5.0,1.0,0.143,4.0,17.0,9.0,0.269,27.0,missing,,V,2.94,4.52,0.25,1.11,15,11,0.462,76,2.98,,V,1.93,5.12,0.53,1.61,missing,missing
469,ACQUIRE,STEAL,YES,146.0,2.0,0.014,0,0.007,3.0,1.0,0.0165,3.0,17.0,11.0,0.693,27.0,missing,,V,2.94,4.52,0.25,1.11,17,13,0.388,5,3.59,,V,2.56,3.44,0.44,2.41,missing,missing
470,ACQUIRE,TAKE,YES,146.0,7.0,0.048,0,0.058,5.0,1.0,0.0227,5.0,17.0,10.0,0.29,27.0,missing,,V,2.94,4.52,0.25,1.11,11,6,0.529,611,3.2,,V,2.55,2.91,0.73,2.42,missing,missing
471,ACQUIRE,TASTE,YES,146.0,6.0,0.041,0,0.0,0.0,1.0,0.0,0.0,17.0,15.0,0.783,27.0,missing,,V,2.94,4.52,0.25,1.11,15,15,0.892,59,4.53,,V,2.27,5.85,0.6,1.91,missing,missing
472,ACQUIRE,WEALTH,YES,146.0,2.0,0.014,0,0.002,2.0,1.0,0.0043,1.0,17.0,13.0,0.755,27.0,missing,,V,2.94,4.52,0.25,1.11,11,10,0.437,22,3.28,,N,2.18,4.49,0.64,1.28,missing,missing
558,ACTIVITY,ACTIVE,YES,150.0,3.0,0.02,0,0.004,2.0,1.0,0.0115,5.0,22.0,14.0,0.405,116.0,missing,,N,3.29,4.84,0.1,1.04,21,13,0.331,88,missing,,AJ,1.5,1.7,0.17,1.43,missing,missing
559,ACTIVITY,BASKETBALL,YES,150.0,4.0,0.027,0,0.005,3.0,1.0,0.0195,3.0,22.0,15.0,0.385,116.0,missing,,N,3.29,4.84,0.1,1.04,13,8,0.509,9,5.88,,N,2.55,2.82,0.73,1.37,missing,missing
560,ACTIVITY,BUSY,YES,150.0,12.0,0.08,0,0.002,2.0,1.0,0.0052,5.0,22.0,14.0,0.539,116.0,missing,,N,3.29,4.84,0.1,1.04,24,18,0.504,58,3.21,G,AJ,1.91,5.87,0.17,1.37,missing,missing
561,ACTIVITY,ENERGY,YES,150.0,5.0,0.033,0,0.001,2.0,1.0,0.0022,4.0,22.0,15.0,0.599,116.0,missing,,N,3.29,4.84,0.1,1.04,22,14,0.49,100,3.44,,N,1.39,2.89,0.56,1.22,missing,missing
562,ACTIVITY,EVENT,YES,150.0,2.0,0.013,0,0.0,0.0,1.0,0.0135,2.0,22.0,18.0,0.552,116.0,missing,,N,3.29,4.84,0.1,1.04,22,17,0.53,81,3.72,,N,1.32,2.96,0.16,1.2,missing,missing
563,ACTIVITY,EXERCISE,YES,150.0,2.0,0.013,0,0.002,3.0,1.0,0.0041,3.0,22.0,15.0,0.586,116.0,missing,,N,3.29,4.84,0.1,1.04,28,23,0.658,58,4.62,G,N,3.12,7.45,0.58,2.16,missing,missing
564,ACTIVITY,EXTRACURRICULAR,NO,150.0,3.0,0.02,missing,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.745,116.0,missing,,N,3.29,4.84,0.1,1.04,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
565,ACTIVITY,FUN,YES,150.0,19.0,0.127,0,0.016,8.0,1.0,0.005,4.0,22.0,12.0,0.305,116.0,missing,,N,3.29,4.84,0.1,1.04,15,11,0.615,44,2.45,,N,2.13,3.33,0.73,2.03,missing,missing
566,ACTIVITY,GAME,YES,150.0,8.0,0.053,0,0.017,8.0,1.0,0.0233,3.0,22.0,12.0,0.339,116.0,missing,,N,3.29,4.84,0.1,1.04,13,10,0.385,123,4.72,N,N,1.62,1.78,0.62,2.34,missing,missing
567,ACTIVITY,HOBBY,YES,150.0,2.0,0.013,0.027,0.0,0.0,1.0,0.0182,5.0,22.0,15.0,0.385,116.0,missing,,N,3.29,4.84,0.1,1.04,29,19,0.448,4,3.66,,N,1.68,3.01,0.16,1.15,0,0
568,ACTIVITY,JOB,YES,150.0,2.0,0.013,0,0.005,3.0,1.0,0.0227,1.0,22.0,17.0,0.599,116.0,missing,,N,3.29,4.84,0.1,1.04,7,6,0.268,238,4.11,,N,1.86,2.12,1,3.33,missing,missing
569,ACTIVITY,LAZY,YES,150.0,4.0,0.027,0,0.008,5.0,1.0,0.0046,5.0,22.0,15.0,0.532,116.0,missing,,N,3.29,4.84,0.1,1.04,19,14,0.545,9,3.46,,AJ,1.79,3.12,0.47,1.3,missing,missing
570,ACTIVITY,MOVEMENT,YES,150.0,4.0,0.027,0.014,0.0,0.0,1.0,0.0028,1.0,22.0,19.0,0.678,116.0,missing,,N,3.29,4.84,0.1,1.04,16,14,0.633,128,4.03,,N,2.12,4.11,0.31,1.44,0,0
571,ACTIVITY,PLAY,YES,150.0,3.0,0.02,0,0.028,4.0,1.0,0.0247,4.0,22.0,15.0,0.479,116.0,missing,,N,3.29,4.84,0.1,1.04,21,16,0.411,200,4.22,P,V,1.3,3.08,0.45,1.96,missing,missing
572,ACTIVITY,RUN,YES,150.0,6.0,0.04,0,0.004,3.0,1.0,0.0004,2.0,22.0,16.0,0.632,116.0,missing,,N,3.29,4.84,0.1,1.04,10,8,0.786,212,4.51,,V,1,1.66,0.8,2.84,missing,missing
573,ACTIVITY,SCHOOL,YES,150.0,2.0,0.013,0,0.003,3.0,1.0,0.0051,1.0,22.0,17.0,0.592,116.0,missing,,N,3.29,4.84,0.1,1.04,22,19,0.677,492,5.25,T,N,3.35,4.18,0.7,2.65,missing,missing
574,ACTIVITY,SEX,YES,150.0,3.0,0.02,0,0.002,1.0,1.0,0.0079,1.0,22.0,19.0,0.598,116.0,missing,,N,3.29,4.84,0.1,1.04,15,13,0.6,84,5.33,,N,1.71,3.47,0.57,2.04,missing,missing
575,ACTIVITY,SPORT,YES,150.0,19.0,0.127,0,0.007,5.0,1.0,0.006,5.0,22.0,12.0,0.339,116.0,missing,,N,3.29,4.84,0.1,1.04,12,7,0.614,17,4.18,,N,1.83,2.07,0.5,1.59,missing,missing
576,ACTIVITY,TENNIS,YES,150.0,2.0,0.013,0,0.012,3.0,1.0,0.0131,2.0,22.0,17.0,0.539,116.0,missing,,N,3.29,4.84,0.1,1.04,9,7,0.736,15,5.54,,N,1.67,2.22,0.89,2.14,missing,missing
577,ACTIVITY,TIRED,YES,150.0,2.0,0.013,0,0.01,5.0,1.0,0.0009,2.0,22.0,14.0,0.499,116.0,missing,,N,3.29,4.84,0.1,1.04,14,12,0.781,48,3.04,,AJ,1.79,3.69,0.79,3.78,missing,missing
578,ACTIVITY,VOLLEYBALL,YES,150.0,2.0,0.013,0,0.0,0.0,1.0,0.0267,6.0,22.0,14.0,0.365,116.0,missing,,N,3.29,4.84,0.1,1.04,16,10,0.517,1,6.48,,N,4.38,6.85,0.13,1.14,missing,missing
579,ACTIVITY,WORK,YES,150.0,6.0,0.04,0,0.019,9.0,1.0,0.007,5.0,22.0,11.0,0.366,116.0,missing,,N,3.29,4.84,0.1,1.04,19,14,0.469,760,3.88,N,N,1.63,3.11,0.68,3.01,missing,missing
1443,ALARM,ALERT,YES,165.0,4.0,0.024,0.056,0.005,1.0,0.0,0.0165,2.0,12.0,9.0,0.714,16.0,4.86,,N,1,2.99,0.33,1.16,13,8,0.376,33,3.96,,AJ,0.82,2.01,0.36,1.27,1,0.083
1444,ALARM,AWAKE,YES,165.0,10.0,0.061,0.014,0.005,1.0,0.0,0.0039,3.0,12.0,8.0,0.702,16.0,4.86,,N,1,2.99,0.33,1.16,9,5,0.73,20,4.4,,V,1.11,2.15,0.67,1.81,1,0.222
1445,ALARM,BELL,YES,165.0,11.0,0.067,0.014,0.005,1.0,0.0,0.0208,2.0,12.0,9.0,0.671,16.0,4.86,,N,1,2.99,0.33,1.16,11,7,0.353,18,6.52,,N,0.6,1.53,0.5,1.34,1,0.101
1446,ALARM,CLOCK,YES,165.0,64.0,0.388,0.079,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.459,16.0,4.86,,N,1,2.99,0.33,1.16,7,6,0.888,20,6.94,,N,0.71,1.54,0.57,2,0,0
1447,ALARM,FIRE,YES,165.0,8.0,0.048,0,0.001,1.0,0.0,0.0,0.0,12.0,10.0,0.775,16.0,4.86,,N,1,2.99,0.33,1.16,18,16,0.816,187,6.13,N,N,2.06,2.5,0.63,2.85,missing,missing
1448,ALARM,FRIGHT,YES,165.0,4.0,0.024,0,0.022,1.0,0.0,0.0305,1.0,12.0,10.0,0.775,16.0,4.86,,N,1,2.99,0.33,1.16,8,7,0.279,2,2.63,,N,1.38,2.15,0.63,1.64,missing,missing
1449,ALARM,LOUD,YES,165.0,3.0,0.018,0,0.004,1.0,0.0,0.0007,1.0,12.0,10.0,0.768,16.0,4.86,,N,1,2.99,0.33,1.16,11,8,0.817,20,3.93,,AJ,1.78,2.7,0.78,2.08,missing,missing
1450,ALARM,MORNING,YES,165.0,7.0,0.042,0,0.001,1.0,0.0,0.0,0.0,12.0,10.0,0.744,16.0,4.86,,N,1,2.99,0.33,1.16,18,18,0.9,211,5.11,,N,1.89,4.56,0.56,2.09,missing,missing
1451,ALARM,RING,YES,165.0,8.0,0.048,0,0.027,1.0,0.0,0.0068,1.0,12.0,10.0,0.732,16.0,4.86,,N,1,2.99,0.33,1.16,13,12,0.773,47,5.88,N,N,1.15,2.98,0.85,2.67,missing,missing
1452,ALARM,SCARE,YES,165.0,8.0,0.048,0,0.015,1.0,0.0,0.0111,1.0,12.0,10.0,0.775,16.0,4.86,,N,1,2.99,0.33,1.16,11,10,0.316,3,4.07,,V,2,2.31,0.27,2.27,missing,missing
1453,ALARM,SOUND,YES,165.0,10.0,0.061,0,0.002,2.0,0.0,0.0011,1.0,12.0,9.0,0.701,16.0,4.86,,N,1,2.99,0.33,1.16,10,9,0.827,204,5.28,P,N,2.5,3.42,0.8,1.49,missing,missing
1454,ALARM,UP,YES,165.0,3.0,0.018,0,0.003,1.0,0.0,0.0,0.0,12.0,10.0,0.768,16.0,4.86,,N,1,2.99,0.33,1.16,5,5,0.947,1895,3.8,,AD,1.2,1.33,1,2.02,missing,missing
2021,ANGLE,45 DEGREE,NO,151.0,2.0,0.013,missing,0.0,0.0,0.0,0.0,0.0,16.0,13.0,0.694,51.0,5.19,T,V,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2022,ANGLE,90 DEGREE,NO,151.0,10.0,0.066,missing,0.0,0.0,0.0,0.0,0.0,16.0,13.0,0.694,51.0,5.19,T,V,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2023,ANGLE,BEND,YES,151.0,2.0,0.013,0,0.005,1.0,3.0,0.003,2.0,16.0,10.0,0.588,51.0,5.19,T,V,missing,missing,missing,missing,17,13,0.687,24,3.58,W,V,1.2,1.89,0.4,1.5,missing,missing
2024,ANGLE,CORNER,YES,151.0,3.0,0.02,0.029,0.001,1.0,3.0,0.0017,3.0,16.0,9.0,0.555,51.0,5.19,T,V,missing,missing,missing,missing,22,18,0.712,134,6.13,,N,1.91,3.09,0.27,1.2,0,0
2025,ANGLE,CURVE,YES,151.0,8.0,0.053,0.012,0.004,4.0,3.0,0.013,4.0,16.0,8.0,0.555,51.0,5.19,T,V,missing,missing,missing,missing,20,14,0.429,45,4.4,,N,1.74,2.89,0.32,1.21,0,0
2026,ANGLE,DEGREE,YES,151.0,12.0,0.079,0.021,0.0,0.0,3.0,0.0,0.0,16.0,12.0,0.615,51.0,5.19,T,V,missing,missing,missing,missing,17,13,0.679,125,missing,G,N,missing,missing,missing,missing,missing,missing
2027,ANGLE,GEOMETRY,YES,151.0,27.0,0.179,0.081,0.012,3.0,3.0,0.0439,4.0,16.0,7.0,0.298,51.0,5.19,T,V,missing,missing,missing,missing,11,5,0.164,9,3.33,,N,2.5,3.97,0.3,1.28,0,0
2028,ANGLE,LINE,YES,151.0,2.0,0.013,0,0.015,3.0,3.0,0.0111,3.0,16.0,8.0,0.343,51.0,5.19,T,V,missing,missing,missing,missing,18,14,0.488,298,4.65,T,N,0.76,1.86,0.41,1.42,missing,missing
2029,ANGLE,MATH,YES,151.0,10.0,0.066,0,0.1,5.0,3.0,0.0,0.0,16.0,7.0,0.298,51.0,5.19,T,V,missing,missing,missing,missing,19,19,0.846,4,3.78,,N,2.26,2.56,0.58,4.5,missing,missing
2030,ANGLE,OBTUSE,NO,151.0,9.0,0.06,missing,0.0,0.0,0.0,0.0,0.0,16.0,13.0,0.694,51.0,5.19,T,V,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2031,ANGLE,PROTRACTOR,YES,151.0,2.0,0.013,0,0.0,0.0,3.0,0.0412,2.0,16.0,10.0,0.436,51.0,5.19,T,V,missing,missing,missing,missing,13,7,0.348,0,missing,,N,missing,missing,missing,missing,missing,missing
2032,ANGLE,RIGHT,YES,151.0,11.0,0.073,0,0.0,0.0,3.0,0.0,0.0,16.0,12.0,0.621,51.0,5.19,T,V,missing,missing,missing,missing,3,3,0.919,613,3.53,N,AJ,0.33,1.47,1,2.9,missing,missing
2033,ANGLE,SQUARE,YES,151.0,4.0,0.026,0,0.046,3.0,3.0,0.0075,3.0,16.0,8.0,0.304,51.0,5.19,T,V,missing,missing,missing,missing,13,9,0.764,143,5.15,N,N,1.42,2.38,0.67,3,missing,missing
2034,ANGLE,STRAIGHT,YES,151.0,6.0,0.04,0,0.018,4.0,3.0,0.0077,2.0,16.0,8.0,0.555,51.0,5.19,T,V,missing,missing,missing,missing,12,9,0.515,114,3.89,,AJ,0.91,1.46,0.91,2.18,missing,missing
2035,ANGLE,TRIANGLE,YES,151.0,15.0,0.099,0,0.016,2.0,3.0,0.0292,3.0,16.0,9.0,0.324,51.0,5.19,T,V,missing,missing,missing,missing,14,8,0.252,4,5.19,,N,1.91,4.14,0.46,1.44,missing,missing
2036,ANGLE,WIDE,YES,151.0,3.0,0.02,0,0.0,0.0,3.0,0.0,0.0,16.0,12.0,0.674,51.0,5.19,T,V,missing,missing,missing,missing,15,15,0.815,125,3.44,,AJ,1.47,2.43,0.27,1.92,missing,missing
2306,ANXIETY,ANXIOUS,YES,142.0,3.0,0.021,0.027,0.011,4.0,0.0,0.051,7.0,19.0,10.0,0.331,42.0,1.63,,N,2.84,3.41,0.26,1.16,19,8,0.205,29,2.44,,AJ,2.75,3.58,0.5,1.35,4,0.159
2307,ANXIETY,ATTACK,YES,142.0,13.0,0.092,0,0.0,0.0,0.0,0.0014,1.0,19.0,17.0,0.512,42.0,1.63,,N,2.84,3.41,0.26,1.16,20,19,0.852,105,3.87,,V,2.7,4.89,0.2,1.3,missing,missing
2308,ANXIETY,EXCITED,YES,142.0,2.0,0.014,0,0.003,2.0,0.0,0.0035,6.0,19.0,12.0,0.457,42.0,1.63,,N,2.84,3.41,0.26,1.16,19,9,0.531,23,missing,G,AJ,missing,missing,missing,missing,missing,missing
2309,ANXIETY,EXCITEMENT,YES,142.0,2.0,0.014,0.019,0.0,0.0,0.0,0.0019,2.0,19.0,16.0,0.541,42.0,1.63,,N,2.84,3.41,0.26,1.16,17,8,0.486,32,missing,,N,missing,missing,missing,missing,missing,missing
2310,ANXIETY,FEAR,YES,142.0,14.0,0.099,0.02,0.002,2.0,0.0,0.0049,1.0,19.0,16.0,0.498,42.0,1.63,,N,2.84,3.41,0.26,1.16,17,13,0.321,127,3.22,,N,1.4,1.91,0.67,1.8,2,0.089
2311,ANXIETY,FEELING,YES,142.0,2.0,0.014,0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.689,42.0,1.63,,N,2.84,3.41,0.26,1.16,18,16,0.793,172,2.33,,N,2.5,5.61,0.31,1.68,missing,missing
2312,ANXIETY,FRUSTRATION,YES,142.0,4.0,0.028,0.014,0.001,1.0,0.0,0.0062,3.0,19.0,15.0,0.549,42.0,1.63,,N,2.84,3.41,0.26,1.16,14,7,0.357,10,2.74,,N,missing,missing,missing,missing,missing,missing
2313,ANXIETY,HIGH,YES,142.0,2.0,0.014,0,0.0,0.0,0.0,0.0003,1.0,19.0,17.0,0.668,42.0,1.63,,N,2.84,3.41,0.26,1.16,11,10,0.833,497,3.62,,AJ,0.73,1.85,0.55,1.92,missing,missing
2314,ANXIETY,HYPER,YES,142.0,3.0,0.021,0,0.0,2.0,0.0,0.0004,1.0,19.0,16.0,0.654,42.0,1.63,,N,2.84,3.41,0.26,1.16,19,15,0.708,0,missing,,N,0.81,2.42,0.25,1.08,missing,missing
2315,ANXIETY,NERVES,YES,142.0,5.0,0.035,0,0.002,1.0,0.0,0.0109,5.0,19.0,13.0,0.408,42.0,1.63,,N,2.84,3.41,0.26,1.16,27,15,0.369,22,missing,,N,missing,missing,missing,missing,missing,missing
2316,ANXIETY,NERVOUS,YES,142.0,18.0,0.127,0,0.016,8.0,0.0,0.0084,5.0,19.0,9.0,0.317,42.0,1.63,,N,2.84,3.41,0.26,1.16,19,13,0.365,24,3.3,,AJ,1.28,1.42,0.33,2.02,missing,missing
2317,ANXIETY,PRESSURE,YES,142.0,2.0,0.014,0,0.006,2.0,0.0,0.0114,2.0,19.0,15.0,0.57,42.0,1.63,,N,2.84,3.41,0.26,1.16,21,18,0.605,185,3.63,,N,1,2.73,0.4,1.42,missing,missing
2318,ANXIETY,PSYCHOLOGY,YES,142.0,2.0,0.014,0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.689,42.0,1.63,,N,2.84,3.41,0.26,1.16,14,13,0.733,14,3.42,,N,1.62,1.5,0.31,1.19,missing,missing
