,Cues,Targets,Sample Size,Count,Part of Speech,Synonym
260,DISCOURAGE,DEMOTIVATE,197,10,N,False
261,EYEBALL,EYEBALL,196,2,N,True
262,ASTEROID,PLANETOID,196,1,N,True
263,BOIL,SIMMER,196,4,N,True
264,NEIGHBOR,NEARBY,197,6,ADV,False
265,DECORATION,ADORNMENT,197,8,N,True
266,MEND,FIX,196,2,N,True
267,ASTEROID,SPACE,196,10,N,True
268,DOMAIN,AREA,196,12,N,True
269,CREW,MATE,198,2,N,True
270,ROPE,LASSO,197,1,N,True
271,SURFACE,OUTER,197,6,N,True
272,STRAP,SECURE,197,2,N,True
273,ROOF,OVERHEAD,197,5,N,True
274,INVENT,CREATE,197,3,N,True
275,DENT,TOOTH,197,1,N,True
276,HAUNT,HAUNT,197,5,N,True
277,CALIFORNIA,CALIFORNIA,197,2,N,True
278,STRANGE,PECULIAR,197,18,N,True
279,DANGEROUS,PERILOUS,197,2,N,True
280,POPCORN,KERNELS,197,1,N,True
281,PENCIL,GRAPHITE,197,1,N,True
282,GRADUATE,FINISH,197,3,N,True
283,MINK,MAMMAL,196,1,N,True
284,FLOAT,HOVER,196,3,N,True
285,FIN,EXTREMITY,197,9,N,True
286,SOUTHERN,REGION,197,6,N,False
287,FLUSH,DRAIN,197,25,N,True
288,FIN,FLIPPER,197,6,N,True
289,BUTTER,SPREADABLE,197,2,N,False
290,LEVER,LEVER,197,1,N,True
291,SHOWER,SHOWER,197,1,N,True
292,ASSUME,ASSUME,197,4,V,True
293,ROPE,ROPE,197,1,N,True
294,SECURE,SECURE,197,1,N,True
295,SURFACE,SURFACE,197,1,N,True
296,RADIO,RADIO,197,1,N,True
297,EDGE,EDGE,197,1,N,True
298,SAVE,SAVE,197,1,N,True
299,STRANGE,STRANGE,197,1,AJ,True
300,STRAP,STRAP,197,1,N,True
301,CONSIDER,CONSIDER,197,1,V,True
302,ROOF,ROOF,197,1,N,True
303,BULLY,BULLY,197,1,N,True
304,LIGHT,LIGHT,197,1,N,True
305,KING,KING,197,1,N,True
306,ANGLE,ANGLE,197,1,N,True
307,POPCORN,POPCORN,197,1,N,True
308,SUICIDE,SUICIDE,197,1,N,True
309,PENCIL,PENCIL,197,1,N,True
310,BUTTER,PEANUT BUTTER,197,1,N,False
311,FISHING,FISHING,197,1,N,True
312,DIRECT,DIRECT,197,1,AJ,True
313,INSURANCE,INSURANCE,197,1,N,True
314,DECISION,DECISION,197,1,N,True
315,ATTACK,ATTACK,197,1,N,True
316,CLERK,CLERK,197,1,N,True
317,ACTIVITY,ACTIVITY,197,1,N,True
318,POLICE,POLICE,197,1,N,True
319,BOND,BOND,197,1,N,True
320,FREEZE,FREEZE,197,1,N,True
321,ENTERTAINMENT,ENTERTAINMENT,197,1,N,True
322,CAUTION,CAUTION,197,1,N,True
323,FEMALE,FEMALE,197,1,N,True
324,FLEA,FLEA,197,1,N,True
325,STOP,STOP,196,1,N,True
326,CIGAR,CIGAR,196,1,N,True
327,BURIAL,BURIAL,196,1,N,True
328,STARS,STARS,196,1,N,True
329,STRICT,STRICT,196,1,N,True
330,ALARM,ALARM,196,1,N,True
331,BRAKE,BRAKE,196,1,N,True
332,BLUFF,BLUFF,196,1,N,True
333,MINK,MINK,196,1,N,True
334,ASTEROID,ASTEROID,196,1,N,True
335,FLOAT,FLOAT,196,1,N,True
336,PLAYING,PLAYING,196,1,N,True
337,BOIL,BOIL,196,1,N,True
338,DOMAIN,DOMAIN,196,1,N,True
339,BRANDY,BRANDY,195,1,N,True
340,RECIPE,RECIPE,195,2,N,True
341,SUN,SUN,195,1,N,True
342,FRIENDSHIP,FRIENDSHIP,195,1,N,True
343,ASSUME,SUPPOSE,197,10,N,True
344,RECIPE,INSTRUCTION,195,2,N,True
345,CLERK,ASSISTANT,197,7,N,True
346,SHOWER,WATER,197,18,N,True
347,FLUSH,EMPTY,197,8,N,True
348,STRICT,FIRM,196,6,N,True
349,SEASON,WEATHER,197,17,N,True
350,ASTEROID,PLANETESIMAL,196,1,N,True
351,STRAP,BELT,197,7,N,True
352,GRADUATE,COMPLETION,197,9,N,True
353,EYEBALL,SIGHT,196,3,N,True
354,DENT,DENTIST,197,4,N,True
355,ROPE,STRING,197,3,N,True
356,CAUTION,CAREFULNESS,197,4,N,True
357,FLOAT,BUOY,196,4,N,True
358,ASSUME,BELIEVE,197,1,N,True
359,ASTEROID,ROCK,196,2,N,True
360,FLUSH,EVACUATE,197,4,N,True
361,STRANGE,BIZARRE,197,6,N,True
362,GRADUATE,ACCOMPLISH,197,3,N,True
363,SEASON,CYCLE,197,1,N,True
364,DISCOURAGE,DISSUADE,197,1,N,True
365,POLICE,LAW,197,4,N,True
366,ANXIETY,FEAR,197,4,N,True
367,GRADUATE,ALUMNUS,197,4,N,True
368,ECONOMY,ECONOMIC SYSTEM,196,1,N,False
369,FLOAT,BUOYANT,196,5,N,False
370,HAUNT,LINGER,197,2,N,True
371,ACTIVITY,TASK,197,2,N,True
372,RECIPE,METHOD,195,1,N,True
373,FIN,CAUDAL,197,1,N,False
374,EYEBALL,ORB,196,5,N,True
375,DECORATION,ORNAMENTATION,197,4,N,True
376,CORPORAL,BODY,197,4,N,True
377,ROOF,CANOPY,197,1,N,True
378,ATTACK,ASSAIL,197,2,N,True
379,CREW,SAILOR,198,2,N,True
380,BOIL,BUBBLE,196,5,N,True
381,CREW,SAILORS,198,1,N,True
382,FIN,MONETARY UNIT,197,1,N,False
383,SOUTHERN,DIRECTION,197,1,N,False
384,EYEBALL,VISUAL ORGAN,196,12,N,False
385,RECIPE,CULINARY INSTRUCTIONS,195,1,N,False
386,IMPORTANT,SIGNIFICANCE,197,3,N,False
387,FRIENDSHIP,CAMARADERIE,195,3,N,True
388,EYEBALL,VIEW,196,1,N,True
389,FREQUENT,COMMON,196,2,N,True
390,STARS,CELESTIAL OBJECTS,196,5,N,False
391,PRIM,DAINTY,197,1,N,True
392,DECISION,CONCLUSION,197,1,N,True
393,GRADUATE,EARN A DEGREE,197,2,V,False
394,FREQUENT,VISIT OFTEN,196,2,N,False
395,PLAYING,ENGAGING IN RECREATION,196,2,N,False
396,BOIL,COOK IN LIQUID,196,1,N,False
397,BRANDY,DISTILLED SPIRIT,195,1,N,False
398,DIRECT,CONTROL,197,2,N,True
399,BRANDY,SPIRITS,195,3,N,True
400,ANXIETY,WORRIES,197,2,N,True
401,FRIGHTENED,AFRAID,197,5,N,True
402,CREW,SHIP,198,2,N,True
403,BAPTIST,FAITH,197,1,N,True
404,CIGAR,SMOKING,196,6,N,True
405,EYEBALL,SIGHT ORGAN,196,1,N,False
406,BRAKE,STOPPAGE,196,1,N,True
407,PRIM,PRIMORDIAL,197,5,N,True
408,CORPORAL,ENLISTED,197,1,N,False
409,LEVER,FORCE,197,1,N,True
410,PRIM,NEAT,197,1,N,True
411,RECIPE,COOKING INSTRUCTION,195,2,N,False
412,CALIFORNIA,SUNSHINE,197,4,N,True
413,CREW,TEAMMATE,198,1,N,True
414,GRADUATE,CONFER DEGREE,197,1,N,False
415,NEIGHBOR,NEIGHBORLINESS,197,4,N,True
416,BRAKE,CONTROL,196,1,N,True
417,BRANDY,BEVERAGE,195,1,N,True
418,LIVING,ALIVE,197,3,N,True
419,EYEBALL,IRIS,196,1,N,True
420,RURAL,COUNTRY,197,1,N,False
421,CALIFORNIA,GOLDEN STATE,197,2,N,False
422,ANGLE,VANTAGE,197,1,N,True
423,PRIM,CLASSY,197,1,N,True
424,PLAYING,RECREATIONAL,196,1,N,False
425,FRIENDSHIP,COMRADESHIP,195,1,N,True
426,SHOWER,BATHING,197,1,N,True
427,ASTEROID,CELESTIAL ROCK,196,1,N,False
428,PRIM,PRIM AND PROPER,197,6,N,False
429,FIN,FISH LIMB,197,1,N,False
430,GRADUATE,COMPLETE STUDIES,197,2,AJ,False
431,MINK,FUR ANIMAL,196,3,N,False
432,ROOF,TOPMOST,197,1,N,False
433,FIN,FINANCIAL,197,2,N,False
434,EYEBALL,VISUAL,196,2,N,False
435,FLOAT,GLIDE,196,2,N,True
436,FIN,SWIMS,197,1,N,True
437,DECORATION,AESTHETICS,197,1,N,True
438,BASIC,FUNDAMENTALS,197,1,N,True
439,PLAYING,GAMBLING,196,1,N,True
440,BULLY,HARASS,197,2,N,True
441,SAVE,RESCUED,197,1,N,True
442,DIRECT,GUIDED,197,1,N,True
443,PLAYING,GAMES,196,1,N,True
444,ASTEROID,MINOR PLANET,196,1,AJ,False
445,PRIM,PRIMNESS,197,4,N,False
446,POLICE,ENFORCE,197,3,N,True
447,BLUFF,TRICK,196,2,N,True
448,FLUSH,VOID,197,1,N,True
449,FIN,SHARK,197,3,N,True
450,ASTEROID,ROCKY CELESTIAL OBJECT,196,1,N,False
451,LIVING,RESIDENCE,197,1,N,True
452,PENCIL,PEN,197,1,N,True
453,IMAGINATION,CREATIVE,197,1,N,False
454,SUICIDE,TRAGEDY,197,1,N,True
455,DIRECT,COMMAND,197,1,N,True
456,ACTIVITY,EXERCISE,197,1,N,True
457,FLUSH,DISPOSE,197,1,N,True
458,ASSUME,GUESS,197,1,N,True
459,MINK,SMALL MAMMAL,196,1,N,False
460,PLAYING,ACT,196,1,N,True
461,LIGHT,BRIGHT,197,1,N,True
462,GRADUATE,OBTAIN A DEGREE,197,3,IN,False
463,BURIAL,INTERNMENT,196,1,N,True
464,BOIL,HEAT UP,196,1,N,False
465,PRIM,PREPARE,197,1,V,True
466,ASSUME,SPECULATE,197,1,N,True
467,ANGLE,POSITION,197,1,N,True
468,PLAYING,ENTERTAINMENT,196,1,N,True
469,EYEBALL,SEE,196,1,V,True
470,DANGEROUS,UNSAFE,197,2,N,True
471,CIGAR,TOBACOO,196,1,N,False
472,RECIPE,FOOD,195,1,N,True
473,SHUT,C,197,1,SYM,False
474,ANGLE,SLANT,197,1,N,True
475,ROPE,TETHER,197,1,N,True
476,HAUNT,OBSERVE,197,1,N,True
477,LIGHT,BRIGHTNESS,197,1,N,True
478,RECIPE,COOKERY,195,1,N,True
479,JOY,DELIGHT,196,1,N,True
480,GRADUATE,SUCCEED,197,1,N,True
481,FIN,FINS,197,1,N,True
482,FLUSH,IRRIGATE,197,1,N,True
483,ANGLE,DIRECTION,197,1,N,True
484,POPCORN,KERNEL,197,3,N,True
485,SUICIDE,DESPERATION,197,1,N,True
486,GRADUATE,DIPLOMATE,197,1,N,True
487,SOUTHERN,SOUTHERNLY,197,1,N,False
488,POLICE,ENFORCEMENT,197,2,N,True
489,FIN,PASTRY,197,1,N,True
490,EYEBALL,OPTIC,196,1,N,True
491,LEVER,CONTROL,197,1,N,True
492,SEASON,AUTUMN,197,2,N,True
493,ROPE,TIE,197,1,N,True
494,SUN,SOLAR,195,1,N,False
495,CATERPILLAR,LARVAE,197,2,N,True
496,CAUTION,CAREFUL,197,1,N,False
497,MINK,FURRY ANIMAL,196,1,N,False
498,LEVER,MECHANICAL ADVANTAGE,197,1,N,False
499,BRAKE,HALT,196,2,N,True
500,ANXIOUS,UNEASY,195,3,N,True
501,HAUNT,AWAKEN,197,1,N,True
502,SOUTHERN,SOUTHERN HEMISPHERE,197,3,N,False
503,FRIGHTENED,FEARFUL,197,2,N,True
504,HAUNT,GHOSTLY,197,3,N,False
505,STRAP,BUCKLE,197,1,N,True
506,FIN,FINISHING,197,1,N,True
507,SUICIDE,END,197,1,N,True
508,CREW,COLLABORATE,198,1,N,True
509,LEVER,POWER,197,1,N,True
510,DECORATION,ADORN,197,1,N,False
511,CALIFORNIA,WEST,197,1,N,True
512,FLUSH,RID,197,2,V,True
513,PRIM,REFINED,197,2,N,True
514,FIN,FISH'S APPENDAGE,197,1,N,False
515,ANGLE,TILT,197,1,N,True
516,MINK,WEASEL,196,1,N,True
517,RADIO,TRANSMITTER,197,1,N,True
518,SECURE,PROTECT,197,1,N,True
519,ACTIVITY,ENGAGE,197,1,N,False
520,HAUNT,HAUNTED,197,1,N,True
521,FIN,SWIMSUIT,197,1,N,True
522,BOND,CONNECT,197,1,N,True
523,RADIO,TRANSMIT,197,1,N,True
524,FLUSH,PURGE,197,1,N,True
525,PENCIL,WRITING IMPLEMENT,197,1,N,False
526,SURFACE,AREA,197,1,N,True
527,ACTIVITY,MOVEMENT,197,1,N,True
528,LIVING,LIFESTYLE,197,1,N,True
529,PLAYING,ENGAGING,196,1,N,True
530,CIGAR,SMOKABLE,196,1,N,False
531,KING,ROYAL,197,1,N,True
532,SOUTHERN,SOUTHWARD,197,1,N,True
533,CLERK,CASHIER,197,1,N,True
534,ANGLE,POINT,197,1,N,True
535,FACTORY,INDUSTRIAL,197,1,N,False
536,FLUSH,WATER,197,1,N,True
537,BOND,ASSOCIATION,197,1,N,True
