Cues,Targets,Sample Size,Count
SOUTHERN,SOUTHERN,200,46
CLERK,ATTENDANT,200,101
FRIGHTENED,SCARED,200,156
BAPTIST,RELIGION,200,76
GRADUATE,DEGREE,200,64
STOP,CEASE,200,39
BURIAL,FUNERAL,200,38
STARS,CELESTIAL,200,169
EYEBALL,VISION,200,97
STRICT,RIGOROUS,200,150
CUSS,SWEAR,200,153
ASTEROID,METEOR,200,7
ECONOMY,FINANCIAL,200,75
PLAYING,FUN,200,47
BOIL,HEAT,200,114
RECIPE,COOKING,200,93
SUN,SHINE,200,18
PRIM,REFINED,200,10
DECORATION,ORNAMENTATION,200,31
FENCE,BARRIER,200,28
BRIEF,CONCISE,200,156
FLUSH,EMPTY,200,3
STRANGE,PECULIAR,200,21
FIN,FINALE,200,22
SOUTHERN,SOUTH,200,25
GRADUATE,DIPLOMA,200,13
EYEBALL,ORB,200,2
STRICT,RIGID,200,12
ABILITY,CAPABILITY,200,93
ASTEROID,SPACE,200,96
RECIPE,FORMULA,200,37
SEASON,CHANGE,200,114
ROPE,TETHER,200,19
EDGE,BOUNDARY,200,108
CATERPILLAR,TRANSFORMATION,200,64
ROOF,SHELTER,200,40
FIN,SWIM,200,44
SUICIDE,TRAGEDY,200,98
PENCIL,WRITE,200,42
FISHING,CATCH,200,35
DIRECT,LEAD,200,51
INSURANCE,PROTECTION,200,110
SOUTHERN,WARM,200,47
ATTACK,STRIKE,200,14
CLERK,ASSISTANT,200,30
ACTIVITY,ENGAGE,200,11
POLICE,LAW,200,39
FREEZE,FROST,200,1
BAPTIST,BAPTIZE,200,5
ENTERTAINMENT,AMUSE,200,4
CAUTION,ALERT,200,23
FREQUENT,REGULARLY,200,3
INCLINE,TILT,200,14
ANXIOUS,NERVOUS,200,27
RECIPE,COOK,200,9
FRIENDSHIP,BOND,200,14
SHOWER,CLEANSING,200,6
CORPORAL,SOLDIER,200,4
ROPE,PULL,200,2
SAVE,PROTECT,200,3
ANGLE,SLOPE,200,15
SUICIDE,DESPAIR,200,6
ACTIVITY,ENGAGEMENT,200,76
BAPTIST,BAPTISM,200,15
GRADUATE,ACCOMPLISH,200,26
CIGAR,SMOKING,200,3
BRAKE,HALT,200,5
BLUFF,DECEPTION,200,48
ASTEROID,CELESTIAL,200,37
INCLINE,LEAN,200,69
BRANDY,ALCOHOL,200,56
SUN,SUNSHINE,200,59
FLUSH,DRAIN,200,20
BASIC,FUNDAMENTALS,200,3
SOUTHERN,REGION,200,21
GRADUATE,COMPLETE,200,29
ASTEROID,CELESTIAL BODY,200,22
ANXIETY,FEAR,200,11
DISCOURAGE,DEMOTIVATE,200,31
ROPE,LASSO,200,11
DANGEROUS,RISKY,200,15
GRADUATE,COMPLETION,200,21
FRIENDSHIP,CAMARADERIE,200,4
CREW,COLLABORATION,200,23
PRIM,FORMALITY,200,10
DECORATION,BEAUTY,200,8
ROPE,TENSION,200,3
EDGE,BRINK,200,1
KING,ROYALTY,200,28
FIN,END,200,45
BUTTER,PEANUTTY,200,1
FISHING,RELAXATION,200,3
SOUTHERN,WARMTH,200,32
CLERK,SERVICE,200,13
BAPTIST,FAITH,200,14
FEMALE,WOMANLY,200,1
GRADUATE,ACCOMPLISHMENT,200,26
BURIAL,FINALITY,200,1
ABILITY,CAPACITY,200,5
FORBIDDEN,TABOO,200,3
ECONOMY,FINANCES,200,53
BRANDY,SPIRIT,200,25
SUN,WARMTH,200,2
LEVER,MECHANICAL,200,31
DISCOURAGE,DEFLATE,200,2
FISHING,ANGLER,200,5
ATTACK,ASSAIL,200,5
CAUTION,CAREFUL,200,10
CIGAR,TOBACCO,200,31
ECONOMY,FINANCE,200,27
BRANDY,DRINK,200,9
PIGMENT,COLORFUL,200,6
LIVING,VIBRANT,200,1
SHOWER,REFRESHING,200,19
HAUNT,UNSETTLING,200,1
FIN,FINS,200,2
BUTTER,NUTTY,200,8
POLICE,ENFORCEMENT,200,31
BRANDY,DISTILLED,200,1
LIVING,EXISTENCE,200,43
FLUSH,CLEAN,200,11
STRAP,SECURE,200,26
IMPORTANT,ESSENTIAL,200,28
CLERK,TRANSACTION,200,1
FLEA,PEST,200,24
FREQUENT,OFTEN,200,9
SUN,LIGHT,200,19
FRIENDSHIP,CONNECTION,200,5
BASIC,SIMPLE,200,6
POLICE,ENFORCE,200,11
FREEZE,IMMOBILIZE,200,15
BAPTIST,RELIGIOUS,200,48
FACTORY,MANUFACTURING,200,34
FREEZE,CHILL,200,18
SEASON,WEATHER,200,3
FIN,FISH,200,24
CIGAR,CIGARETTE,200,3
SUN,SOLAR,200,4
SHOWER,REFRESH,200,13
HAUNT,PERSIST,200,8
FREEZE,HALT,200,2
RELIABLE,TRUSTWORTHINESS,200,7
DECORATION,BEAUTIFICATION,200,2
ROPE,KNOT,200,9
CALIFORNIA,WEST,200,3
LEVER,MECHANICAL ADVANTAGE,200,20
ANXIETY,UNEASE,200,2
IMPORTANT,SIGNIFICANCE,200,12
FIN,PADDLE,200,1
FRIGHTENED,FEARFUL,200,5
EYEBALL,VISUAL,200,3
SUN,SUNLIGHT,200,4
ROPE,LINE,200,2
HAUNT,DWELL,200,1
RADIO,TRANSMIT,200,2
CATERPILLAR,TRANSFORM,200,6
STRANGE,ODD,200,11
CONSIDER,CONTEMPLATE,200,30
SUICIDE,DESPERATION,200,8
STRICT,FIRM,200,4
FORBIDDEN,FORBIDDEN,200,1
CREW,TEAMWORK,200,16
SHOWER,REFRESHMENT,200,2
CORPORAL,BODY,200,5
ASSUME,PRESUMPTION,200,2
RADIO,BROADCASTING,200,25
STRANGE,UNFAMILIAR,200,6
CAUTION,ALERTNESS,200,23
BURIAL,REST,200,1
BRAKE,SLOW,200,6
INVENT,CREATIVITY,200,3
DECORATION,ADORNMENT,200,13
FIN,MONEY,200,1
BAPTIST,RELIGIOUS DENOMINATION,200,6
EYEBALL,GAZE,200,11
BRANDY,ALCOHOLIC BEVERAGE,200,3
RECIPE,INSTRUCTIONS,200,9
CALIFORNIA,GOLDEN STATE,200,5
FLUSH,IRRIGATE,200,1
FISHING,RECREATION,200,7
GRADUATE,ACHIEVE,200,4
EYEBALL,VISUAL ORGAN,200,9
BRAKE,STOPPER,200,11
SHOWER,CLEAN,200,31
FLUSH,RINSE,200,8
SOUTHERN,SOUTHERNMOST,200,23
CLERK,SALESPERSON,200,8
ASTEROID,SPACE ROCK,200,11
FRIENDSHIP,BONDING,200,5
ASSUME,SUPPOSE,200,5
ANGLE,POSITION,200,3
PENCIL,WRITING UTENSIL,200,3
DOMAIN,AREA,200,10
ANXIOUS,UNEASY,200,1
FIN,AQUATIC,200,5
FLEA,INSECT,200,27
MEND,FIX,200,3
RECIPE,INSTRUCTION,200,2
PRIM,PRIMNESS,200,10
ANXIETY,ANXIETY,200,1
IMPORTANT,VITAL,200,13
EYEBALL,VIEW,200,1
RECIPE,METHOD,200,5
RELIABLE,DEPENDABLE,200,12
RELIABLE,TRUST,200,12
ATTACK,ACCOST,200,1
EYEBALL,SIGHT,200,7
FRIENDSHIP,RELATIONSHIP,200,7
HAUNT,HAUNTED,200,1
PENCIL,WRITING INSTRUMENT,200,8
GRADUATE,DEGREE HOLDER,200,6
BRAKE,SLOW DOWN,200,3
FORBIDDEN,BANNED,200,1
FLOAT,BUOYANT,200,7
CALIFORNIA,GOLDEN,200,5
FIN,EXTREMITY,200,7
CREW,UNITY,200,6
ACTIVITY,ENERGETIC,200,1
POLICE,AUTHORITY,200,4
FREEZE,PARALYZE,200,3
FLEA,NUISANCE,200,1
ALARM,WARNING,200,8
INCLINE,TENDENCY,200,2
ROPE,CONNECTION,200,3
STRAP,BIND,200,1
ATTACK,AMBUSH,200,1
SHOWER,WATER,200,22
FRIGHTENED,AFRAID,200,3
GRADUATE,COMPLETER,200,1
BOIL,SIMMER,200,7
BRANDY,DISTILLED SPIRIT,200,1
PRIM,ELEGANCE,200,1
DECORATION,AESTHETICS,200,8
RADIO,COMMUNICATION,200,4
BUTTER,DELICIOUS,200,1
POLICE,PROTECT,200,3
RECIPE,CUISINE,200,1
ANXIETY,WORRIES,200,4
HAUNT,TORMENT,200,4
JOY,DELIGHT,200,3
PLAYING,ENTERTAINMENT,200,4
PRIM,CLASSY,200,1
FLOAT,BUOYANCY,200,2
PRIM,PRISTINE,200,1
FENCE,BOUNDARIES,200,4
ROPE,FLEXIBLE,200,1
CLERK,OFFICE,200,2
FLUSH,RID,200,4
LEVER,FORCE,200,2
EYEBALL,VISUALIZE,200,4
ROPE,CONNECT,200,1
SURFACE,TOP,200,20
FREEZE,COLD,200,1
STRICT,STRICTNESS,200,1
ROPE,CONTROL,200,1
ANXIOUS,WORRY,200,2
SUN,RADIANCE,200,4
STRAP,BAND,200,7
LIVING,ALIVE,200,1
ALARM,WARNING SIGNAL,200,1
PLAYING,ENGAGING,200,2
BOIL,BUBBLE,200,1
LEVER,EFFORT,200,1
BAPTIST,BAPTIST,200,1
CORPORAL,RANK,200,3
HAUNT,UNNERVE,200,1
KING,AUTHORITY,200,1
ATTACK,AGGRESSION,200,4
POLICE,SECURITY,200,2
FIN,TAIL,200,3
SOUTHERN,REGIONAL,200,3
EYEBALL,SIGHT ORGAN,200,1
CREW,CAMARADERIE,200,1
RELIABLE,DEPENDABILITY,200,1
FREEZE,STAGNATE,200,3
SUN,BRIGHTNESS,200,1
ROPE,STRING,200,4
HAUNT,PERSISTENT,200,1
KING,MAJESTY,200,3
SUN,BRIGHT,200,1
SAVE,RESCUE,200,8
FLUSH,TOILE,200,1
PRIM,ELEGANT,200,7
DECORATION,ADORN,200,1
HAUNT,LINGER,200,9
FLUSH,RENEW,200,1
FREEZE,STAGNANT,200,1
DECORATION,BEAUTIFY,200,3
CLERK,ADMINISTRATIVE,200,1
FREEZE,FROZEN,200,2
SHUT,CLOSED,200,3
CIGAR,TOBACOO,200,1
RECIPE,COOKERY,200,1
BUTTER,SPREADABLE,200,3
ATTACK,OFFENSIVE,200,1
ACTIVITY,EXERCISE,200,1
EYEBALL,OCULAR,200,3
SHOWER,RAIN,200,3
DISCOURAGE,DISSUADE,200,1
RADIO,SIGNAL,200,1
STRAP,BELT,200,1
PLAYING,GAMBLE,200,1
IMPORTANT,SIGNIFICADO,200,1
CAUTION,VIGILANCE,200,2
GRADUATE,FINISH,200,1
SUN,SOL,200,2
ROPE,STRAND,200,5
ROOF,TOPMOST,200,2
BAPTIST,CHRISTIANITY,200,1
CAUTION,CARE,200,3
RECIPE,COOKING INSTRUCTION,200,1
LIGHT,BRIGHT,200,4
INCLINE,GRADIENT,200,2
LEVER,CONTROL,200,2
SECURE,SAFETY,200,3
ROOF,CEILING,200,6
CAUTION,CAREFULNESS,200,7
SOUTHERN,SOUTHERN HEMISPHERE,200,1
GRADUATE,COMMENCE,200,2
PRIM,PRIM AND PROPER,200,3
POLICE,LAW...,200,1
KING,SOVEREIGN,200,2
FREEZE,STAGNATION,200,1
SURFACE,OUTER,200,3
EYEBALL,ORGAN,200,1
ROPE,BIND,200,7
CALIFORNIA,SUNNY,200,2
FLUSH,DISPOSE,200,2
CORPORAL,OFFICER,200,5
BAPTIST,BELIEVER,200,1
EYEBALL,PUPIL,200,2
SURFACE,AREA,200,2
BOIL,COOKING PROCESS,200,1
POPORN,SNACK,2,2
FREQUENT,VISIT OFTEN,200,1
FLOAT,HOVER,200,4
SUN,SOURCE OF LIGHT AND HEAT,200,1
BOIL,COOKING,200,1
PLAYING,GAME,200,2
LEVER,LEVERAGE,200,2
DECORATION,EMBELLISHMENT,200,1
HAUNT,VISIT,200,1
BOND,CONNECT,200,3
EYEBALL,OGLE,200,1
LEVER,MECHANICS,200,2
SURFACE,EXTERNAL,200,3
BOND,RELATIONSHIP,200,1
PRIM,PRIMARILY,200,2
CATERPILLAR,LARVAE,200,2
ROPE,BINDING,200,1
ASSUME,ASSUME,200,2
DANGEROUS,UNSAFE,200,1
PENCIL,WRITING IMPLEMENT,200,2
ROPE,ROPE,200,4
CATERPILLAR,CATERPILLAR,200,1
FRIENDSHIP,COMPANIONSHIP.,200,1
PRIM,POLISHED,200,2
ECONOMY,EFFICIENT,200,1
BRANDY,BEVERAGE,200,1
INSURANCE,PROTECT,200,1
BRANDY,ALCOHOLIC,200,1
BRANDY,LIQUEUR,200,1
ROPE,VERSATILE,200,1
EDGE,SHARPNESS,200,1
BUTTER,NUTRIENTS,200,1
FISHING,SERENITY,200,1
POLICE,SAFETY,200,1
STRANGE,BIZARRE,200,1
BRIEF,BRIEFCASE,200,1
ROPE,STRENGTH,200,1
DENT,FLAW,200,1
FISHING,RELAXING,200,1
ACTIVITY,MOTION,200,2
DISCOURAGE,DEFEAT,200,1
PLAYING,GAMING,200,3
PRIM,BASIC,200,1
ASTEROID,PLANET,200,1
SUN,DAY,200,1
FACTORY,INDUSTRY,200,2
IMAGINATION,WONDER,200,1
BRIEF,BRIEFLY,200,1
ROPE,LIFT,200,1
FIN,LIMB,200,1
GRADUATE,ALUMNI,200,2
ECONOMY,TRADE,200,1
PLAYING,GAMES,200,3
CREW,COLLABORATIVE,200,1
PIGMENT,VIBRANT,200,1
INVENT,INNOVATIVE,200,1
LEVER,EFFECTIVE,200,1
FACTORY,INDUSTRIAL,200,2
DENT,DAMAGED,200,1
IMAGINATION,CREATIVE,200,1
LIVING,VITAL,200,1
SEASON,CHANGING,200,1
PRIM,NEAT,200,1
RURAL,TRANQUIL,200,1
CHEDDAR,CHEESY,200,1
DECORATION,ORNAMENTAL,200,1
FENCE,SECURE,200,1
CORPORAL,DISCIPLINED,200,1
ANXIETY,NERVOUS,200,1
HAUNT,EERIE,200,2
SURFACE,SMOOTH,200,1
EDGE,SHARP,200,1
KING,REGAL,200,2
ANGLE,TILT,200,1
CAUTION,WARN,200,1
MINK,FUR ANIMAL,200,1
PRIM,PRIMED,200,2
STRAP,TETHER,200,1
FIN,SWIMS,200,1
PRIM,PRIMORDIAL,200,1
FLUSH,EVACUATE,200,2
FLUSH,EXPEL,200,2
GRADUATE,OBTAIN DEGREE,200,2
RURAL,COUNTRY,200,1
ROOF,COVER,200,1
LEVER,ADVANTAGE,200,2
HAUNT,HAUNTING,200,1
SEASON,CHANGES,200,1
STRAP,BUCKLE,200,2
CATERPILLAR,CHRYSALIS,200,1
BUTTER,CREAMY,200,2
POLICE,PROTECTION,200,1
EYEBALL,GLANCE,200,1
FIN,MONETARY UNIT,200,1
FLOAT,STAY AFLOAT,200,1
ACTIVITY,ENDEAVOR,200,1
FLUSH,REMOVE WASTE,200,1
ANGLE,VIEWPOINT,200,1
CLERK,CASHIER,200,2
ACTIVITY,TASK,200,1
RECIPE,PROCEDURE,200,1
ASSUME,EXPECT,200,1
RECIPE,DISH,200,3
FLUSH,FLUSH,200,1
CAUTION,BEWARE,200,2
BURIAL,INTER,200,1
FRIENDSHIP,COMPANION.,200,1
ANGLE,DIRECTION,200,1
BULLY,HARASS,200,1
EYEBALL,SPHERICAL,200,1
FLEA,INFESTATION,200,1
RECIPE,CULINARY INSTRUCTIONS,200,1
EYEBALL,VISION ORGAN,200,1
CIGAR,STOGIE,200,1
IMPORTANT,SIGNFICANT,200,1
EYEBALL,GLOBE,200,1
MINK,MAMMAL,200,1
CREW,COLLABORATE,200,1
FIN,FOSSIL,200,1
FIN,FLIPPER,200,1
STRICT,RIGOROOUS,200,1
EYEBALL,OBSERVE,200,1
PRIM,MANNERS,200,1
HAUNT,SPOOK,200,1
CALIFORNIA,SUN,200,1
SUN,DAYLIGHT,200,1
FIN,PERFECTION,200,1
LEVER,EFFICIENCY,200,1
PENCIL,SKETCH,200,1
GRADUATE,SUCCESS,200,1
ROPE,BRAIDED,200,1
INVENT,CREATIVE,200,1
PRIM,FORM,200,1
CATERPILLAR,INSECT,200,2
POLICE,OFFICER,200,1
BAPTIST,CHRISTIAN,200,1
HAUNT,TROUBLE,200,1
CONSIDER,THINK,200,1
SUICIDE,DEATH,200,1
FREEZE,STOP,200,1
RADIO,WIRELESS,200,1
FLUSH,DISCARD,200,1
ANGLE,INCLINE,200,1
STARS,CELESTIAL OBJECTS,200,1
STRANGE,UNKNOWN,200,1
GRADUATE,COMMENCEMENT,200,1
EYEBALL,ORBS,200,1
IMPORTANT,CRITICAL,200,1
FIN,NAUTICAL,200,1
MINK,ANIMAL,200,1
SUN,DAYSTAR,200,1
FLOAT,LEVITATE,200,1
SAVE,RESERVE,200,1
