Cue,Target,Probability
ABNORMAL, WRONG,0.007
ABOVE, BEHIND,0.007
ABOVE, BENEATH,0.007
ABOVE, BEST,0.007
ABOVE, ELEVATED,0.007
ABOVE, GOD,0.007
ABOVE, GROUND,0.007
ABOVE, SPACE,0.007
ABOVE, SUPERIOR,0.007
ABOVE, UNDER,0.007
ABOVE, UNEVEN,0.007
ABSENCE, ABSTAIN,0.007
ABSENCE, ABSTINENCE,0.007
ABSENCE, APPEARANCE,0.007
ABSENCE, AUSENTE,0.007
ABSENCE, BLANK,0.007
ABSENCE, BLISS,0.007
ABSENCE, COLLEGE,0.007
ABSENCE, FOND,0.007
ABSENCE, FOOD,0.007
ABSENCE, FREE,0.007
ABSENCE, FUN,0.007
ABSENCE, GENE,0.007
ABSENCE, GESTURE,0.007
ABSENCE, GLASS,0.007
ABSENCE, LACK,0.007
ABSENCE, MALICE,0.007
ABSENCE, OF,0.007
ABSENCE, PAIN,0.007
ABSENCE, REMOVAL,0.007
ABSENCE, SEX,0.007
ABSENCE, SLEEP,0.007
ABSENCE, SPACE,0.007
ABSENCE, TEE,0.007
ABSENCE, THERE,0.007
ABSENCE, UNEXCUSED,0.007
ABSENT, ATTENDANCE,0.007
ABSENT, CHECK,0.007
ABSENT, CLASS,0.007
ABSENT, DIZZY,0.007
ABSENT, DRINKING,0.007
ABSENT, EMPTY,0.007
ABSENT, EXCUSE,0.007
ABSENT, EXEMPT,0.007
ABSENT, FAIL,0.007
ABSENT, LATE,0.007
ABSENT, NO SHOW,0.007
ABSENT, NOTHING,0.007
ABSENT, SLIP,0.007
ABSENT, SURFING,0.007
ABSENT, TODAY,0.007
ABSENT, UNAWARE,0.007
ABSENT, VACATION,0.007
ABSTRACT, ATTENTION,0.007
ABSTRACT, BIG,0.007
ABSTRACT, BOXES,0.007
ABSTRACT, CLEAR,0.007
ABSTRACT, CLOTHING,0.007
ABSTRACT, CLOUDED,0.007
ABSTRACT, CLUE,0.007
ABSTRACT, CONCEPTS,0.007
ABSTRACT, CONTRACT,0.007
ABSTRACT, DEEP,0.007
ABSTRACT, DETAILED,0.007
ABSTRACT, DIFFICULT,0.007
ABSTRACT, DISTRACT,0.007
ABSTRACT, DONE,0.007
ABSTRACT, EXCELLENT,0.007
ABSTRACT, EXPRESSIONISM,0.007
ABSTRACT, FAR,0.007
ABSTRACT, FINITE,0.007
ABSTRACT, FOG,0.007
ABSTRACT, FREE,0.007
ABSTRACT, FUN,0.007
ABSTRACT, FUZZY,0.007
ABSTRACT, GENERAL,0.007
ABSTRACT, LOST,0.007
ABSTRACT, NO,0.007
ABSTRACT, NON CONVENTIONAL,0.007
ABSTRACT, NOTHING,0.007
ABSTRACT, OBTUSE,0.007
ABSTRACT, OBVIOUS,0.007
ABSTRACT, ODD,0.007
ABSTRACT, OPEN,0.007
ABSTRACT, OPPOSITE,0.007
ABSTRACT, OTHER,0.007
ABSTRACT, PAPER,0.007
ABSTRACT, PROFOUND,0.007
ABSTRACT, REAL LIFE,0.007
ABSTRACT, REALITY,0.007
ABSTRACT, SEE,0.007
ABSTRACT, SHIT,0.007
ABSTRACT, STRANGE,0.007
ABSTRACT, SUPERFICIAL,0.007
ABSTRACT, TANGIBLE,0.007
ABSTRACT, TRIANGLE,0.007
ABSTRACT, UNSEEN,0.007
ABSTRACT, VAGUE,0.007
ABSURD, AWFUL,0.007
ABSURD, BEANS,0.007
ABSURD, CONFIDENT,0.007
ABSURD, CRUEL,0.007
ABSURD, DORK,0.007
ABSURD, FAR OUT,0.007
ABSURD, FOOL,0.007
ABSURD, GOOFY,0.007
ABSURD, IDIOT,0.007
ABSURD, ILLOGICAL,0.007
ABSURD, ILLUSION,0.007
ABSURD, INTERESTING,0.007
ABSURD, JOKE,0.007
ABSURD, MORON,0.007
ABSURD, NAUGHTY,0.007
ABSURD, NORMAL,0.007
ABSURD, NOT REALLY,0.007
ABSURD, NUTS,0.007
ABSURD, OBNOXIOUS,0.007
ABSURD, OBSCENE,0.007
ABSURD, OUT THERE,0.007
ABSURD, PAINTING,0.007
ABSURD, RUDE,0.007
ABSURD, TOWEL,0.007
ABSURD, UNREAL,0.007
ABSURD, UNTRUE,0.007
ABUNDANCE, BANANAS,0.007
ABUNDANCE, BUNCH,0.007
ABUNDANCE, CAM,0.007
ABUNDANCE, CHILD,0.007
ABUNDANCE, DEMAND,0.007
ABUNDANCE, DIRT,0.007
ABUNDANCE, DOLLARS,0.007
ABUNDANCE, DOWNTOWN,0.007
ABUNDANCE, GIRLS,0.007
ABUNDANCE, GRAPE,0.007
ABUNDANCE, GREED,0.007
ABUNDANCE, GROWN,0.007
ABUNDANCE, HOSPITAL,0.007
ABUNDANCE, LEAVE,0.007
ABUNDANCE, LESS,0.007
ABUNDANCE, LIFE,0.007
ABUNDANCE, LIT,0.007
ABUNDANCE, MASS,0.007
ABUNDANCE, MOUNTAINS,0.007
ABUNDANCE, MULTITUDE,0.007
ABUNDANCE, NONE,0.007
ABUNDANCE, OVER,0.007
ABUNDANCE, OVERFLOWN,0.007
ABUNDANCE, POPULATION,0.007
ABUNDANCE, PULL,0.007
ABUNDANCE, QUALITY,0.007
ABUNDANCE, QUANTITY,0.007
ABUNDANCE, RESOURCE,0.007
ABUNDANCE, SLOT,0.007
ABUNDANCE, SURPLUS,0.007
ABUNDANCE, SWEDEN,0.007
ABUNDANCE, WEALTH,0.007
ABUNDANCE, YES,0.007
ABUSE, ASSAULT,0.005
ABUSE, AVOIDABLE,0.005
ABUSE, BATTER,0.005
ABUSE, CRY,0.005
ABUSE, DISREGARD,0.005
ABUSE, HARMFUL,0.005
ABUSE, HOT LINE,0.005
ABUSE, KILL,0.005
ABUSE, LOVE,0.005
ABUSE, MARKS,0.005
ABUSE, MISUSE,0.005
ABUSE, MOLEST,0.005
ABUSE, OVERUSE,0.005
ABUSE, PARENTS,0.005
ABUSE, PHYSICAL,0.005
ABUSE, STRIKE,0.005
ABUSE, WASTE,0.005
ABUSE, WRONG,0.005
ABUSE, YELLING,0.005
ACCELERATE, DECLINE,0.007
ACCELERATE, DRIVE,0.007
ACCELERATE, ELEVATE,0.007
ACCELERATE, IMPROVE,0.007
ACCELERATE, MOTION,0.007
ACCELERATE, PICK-UP,0.007
ACCELERATE, POWER,0.007
ACCELERATE, START,0.007
ACCELERATE, ZOOM,0.007
ACCEPT, ADMITTANCE,0.007
ACCEPT, AFFIRM,0.007
ACCEPT, ANARCHY,0.007
ACCEPT, APOLOGIZE,0.007
ACCEPT, APPROVE,0.007
ACCEPT, AVOID,0.007
ACCEPT, BELONGING,0.007
ACCEPT, BOOK,0.007
ACCEPT, CHANGE,0.007
ACCEPT, CHECK,0.007
ACCEPT, CLICKS,0.007
ACCEPT, CONDONE,0.007
ACCEPT, COPE,0.007
ACCEPT, DECLINE,0.007
ACCEPT, DEMAND,0.007
ACCEPT, FACT,0.007
ACCEPT, FIGHT,0.007
ACCEPT, FRIEND,0.007
ACCEPT, GET,0.007
ACCEPT, GIVE-IN,0.007
ACCEPT, GRANT,0.007
ACCEPT, HATE,0.007
ACCEPT, HELP,0.007
ACCEPT, IT,0.007
ACCEPT, JOIN,0.007
ACCEPT, LET,0.007
ACCEPT, LOVE,0.007
ACCEPT, MARRIAGE,0.007
ACCEPT, ME,0.007
ACCEPT, NEGLECT,0.007
ACCEPT, OFFER,0.007
ACCEPT, PEOPLE,0.007
ACCEPT, POPULAR,0.007
ACCEPT, REALIZE,0.007
ACCEPT, STEP,0.007
ACCEPT, SUPPORT,0.007
ACCEPT, WALK AWAY,0.007
ACCEPT, WELCOME,0.007
ACCIDENT, BLOOD,0.007
ACCIDENT, CARELESSNESS,0.007
ACCIDENT, CHANCE,0.007
ACCIDENT, COLLISION,0.007
ACCIDENT, DEAD,0.007
ACCIDENT, EMERGENCY,0.007
ACCIDENT, HEAL,0.007
ACCIDENT, INSURANCE,0.007
ACCIDENT, LAWYER,0.007
ACCIDENT, TROUBLE,0.007
ACCIDENT, WRONG,0.007
ACCOMPLISH, ABILITY,0.007
ACCOMPLISH, ALL,0.007
ACCOMPLISH, ATTAIN,0.007
ACCOMPLISH, CLASS,0.007
ACCOMPLISH, DEED,0.007
ACCOMPLISH, DEFEAT,0.007
ACCOMPLISH, EFFORT,0.007
ACCOMPLISH, GAIN,0.007
ACCOMPLISH, GREAT,0.007
ACCOMPLISH, MAKE,0.007
ACCOMPLISH, PROUD,0.007
ACCOMPLISH, REACHED,0.007
ACCOMPLISH, REWARD,0.007
ACCOMPLISH, SMILE,0.007
ACCOMPLISH, TASK,0.007
ACCOMPLISH, TRIUMPH,0.007
ACCOMPLISHED, ACTOR,0.007
ACCOMPLISHED, COLLEGE,0.007
ACCOMPLISHED, CONQUERED,0.007
ACCOMPLISHED, DEGREE,0.007
ACCOMPLISHED, DEMAND,0.007
ACCOMPLISHED, DETERMINED,0.007
ACCOMPLISHED, DISTINGUISHED,0.007
ACCOMPLISHED, DONE,0.007
ACCOMPLISHED, EARNED,0.007
ACCOMPLISHED, EDUCATED,0.007
ACCOMPLISHED, EXCEL,0.007
ACCOMPLISHED, EXPERT,0.007
ACCOMPLISHED, FAILURE,0.007
ACCOMPLISHED, FULFILL,0.007
ACCOMPLISHED, GIFTED,0.007
ACCOMPLISHED, GOT DONE,0.007
ACCOMPLISHED, GRATIFICATION,0.007
ACCOMPLISHED, HAVE,0.007
ACCOMPLISHED, HIGH,0.007
ACCOMPLISHED, HONORS,0.007
ACCOMPLISHED, LEARNED,0.007
ACCOMPLISHED, NOT MANY,0.007
ACCOMPLISHED, NOTORIOUS,0.007
ACCOMPLISHED, OBTAIN,0.007
ACCOMPLISHED, PERSON,0.007
ACCOMPLISHED, RECOGNIZED,0.007
ACCOMPLISHED, RELIEF,0.007
ACCOMPLISHED, RENOWNED,0.007
ACCOMPLISHED, RESPECTED,0.007
ACCOMPLISHED, SATISFIED,0.007
ACCOMPLISHED, SIGNIFICANT,0.007
ACCOMPLISHED, STUDIED,0.007
ACCOMPLISHED, UNACCOMPLISHED,0.007
ACCOMPLISHED, WELL DONE,0.007
ACCOMPLISHED, WELL INFORMED,0.007
ACCOUNT, ANSWER,0.007
ACCOUNT, BILLS,0.007
ACCOUNT, BUSINESS,0.007
ACCOUNT, DEBIT,0.007
ACCOUNT, FUND,0.007
ACCOUNT, I.R.A.,0.007
ACCOUNT, MESSY,0.007
ACCOUNT, RECOGNIZE,0.007
ACCOUNT, RECORD,0.007
ACCOUNT, SAFE,0.007
ACCOUNT, SCHOOL,0.007
ACCOUNT, TALE,0.007
ACCOUNT, TAX,0.007
ACCUMULATE, ACCEPT,0.007
ACCUMULATE, BANK,0.007
ACCUMULATE, CARRY,0.007
ACCUMULATE, COMMUNICATE,0.007
ACCUMULATE, CRAM,0.007
ACCUMULATE, DATA,0.007
ACCUMULATE, EARN,0.007
ACCUMULATE, EVERYTHING,0.007
ACCUMULATE, GET ENOUGH,0.007
ACCUMULATE, GRADES,0.007
ACCUMULATE, HATE,0.007
ACCUMULATE, HOARD,0.007
ACCUMULATE, INFORMATION,0.007
ACCUMULATE, KEEP,0.007
ACCUMULATE, LEARN,0.007
ACCUMULATE, LEAVES,0.007
ACCUMULATE, MANY,0.007
ACCUMULATE, MASS,0.007
ACCUMULATE, MORE,0.007
ACCUMULATE, OBTAIN,0.007
ACCUMULATE, OWN,0.007
ACCUMULATE, PACK RAT,0.007
ACCUMULATE, POINTS,0.007
ACCUMULATE, POSSESS,0.007
ACCUMULATE, SCATTER,0.007
ACCUMULATE, SUPPLY,0.007
ACCUMULATE, TEMPERATURE,0.007
ACCUMULATE, THINK,0.007
ACCUMULATE, WASTE,0.007
ACCURATE, A'S,0.007
ACCURATE, ACCOUNT,0.007
ACCURATE, AMOUNT,0.007
ACCURATE, ARROW,0.007
ACCURATE, ASSUMPTION,0.007
ACCURATE, AUTOPSY,0.007
ACCURATE, BIRTHDAY,0.007
ACCURATE, COMPLETE,0.007
ACCURATE, CONTROL,0.007
ACCURATE, COUNT,0.007
ACCURATE, DATE,0.007
ACCURATE, DESCRIPTION,0.007
ACCURATE, DICTIONARY,0.007
ACCURATE, DIRECT,0.007
ACCURATE, HORSE SHOES,0.007
ACCURATE, IN COUNT,0.007
ACCURATE, INACCURACY,0.007
ACCURATE, INTELLIGENT,0.007
ACCURATE, JUDGE,0.007
ACCURATE, MARK,0.007
ACCURATE, MISLEADING,0.007
ACCURATE, NUMBER,0.007
ACCURATE, ON,0.007
ACCURATE, PICKY,0.007
ACCURATE, PINPOINT,0.007
ACCURATE, POINT,0.007
ACCURATE, PRECISION,0.007
ACCURATE, PUNCTUAL,0.007
ACCURATE, RADAR,0.007
ACCURATE, SHARP,0.007
ACCURATE, SHOOT,0.007
ACCURATE, SHOT,0.007
ACCURATE, SPEED,0.007
ACCURATE, TARGET,0.007
ACCURATE, TEST,0.007
ACCURATE, THROW,0.007
ACCURATE, VAGUE,0.007
ACCUSE, ABUSE,0.008
ACCUSE, ACCUSATION,0.008
ACCUSE, ADMIT,0.008
ACCUSE, APPOINT,0.008
ACCUSE, ASSUME,0.008
ACCUSE, ATTACK,0.008
ACCUSE, BEWILDER,0.008
ACCUSE, CHEATING,0.008
ACCUSE, CONNIVING,0.008
ACCUSE, COVER,0.008
ACCUSE, ENCOUNTER,0.008
ACCUSE, FALSE,0.008
ACCUSE, FUN,0.008
ACCUSE, HARSH,0.008
ACCUSE, HATE,0.008
ACCUSE, HURT,0.008
ACCUSE, IMPLICATE,0.008
ACCUSE, INNOCENT,0.008
ACCUSE, JAIL,0.008
ACCUSE, JOUST,0.008
ACCUSE, JUSTICE,0.008
ACCUSE, ME,0.008
ACCUSE, MEAN,0.008
ACCUSE, MURDERER,0.008
ACCUSE, RAPIST,0.008
ACCUSE, RIDICULE,0.008
ACCUSE, SENTENCE,0.008
ACCUSE, SHOUT,0.008
ACCUSE, TORMENT,0.008
ACCUSE, UNEQUAL,0.008
ACCUSE, VIOLATE,0.008
ACCUSE, WITNESS,0.008
ACE, AIRPLANE,0.007
ACE, BARON,0.007
ACE, BEST,0.007
ACE, CLUBS,0.007
ACE, DICE,0.007
ACE, EASY,0.007
ACE, FLYING,0.007
ACE, GARDEN,0.007
ACE, GREAT,0.007
ACE, HEARTS,0.007
ACE, HERO,0.007
ACE, HIGH,0.007
ACE, HUNDRED,0.007
ACE, JOKER,0.007
ACE, NICKNAME,0.007
ACE, OKAY,0.007
ACE, OLD,0.007
ACE, PASS,0.007
ACE, PERFECT,0.007
ACE, SERVE,0.007
ACE, SMOOTH,0.007
ACE, SUAVE,0.007
ACE, TEST,0.007
ACHE, FEEL,0.007
ACHE, FLU,0.007
ACHE, LEG,0.007
ACHE, NECK,0.007
ACHE, PIMPLE,0.007
ACHE, STOMACH,0.007
ACHE, UNCOMFORTABLE,0.007
ACHIEVE, ACQUIRE,0.008
ACHIEVE, AMBITIOUS,0.008
ACHIEVE, ATTAIN,0.008
ACHIEVE, AWARD,0.008
ACHIEVE, BELIEVE,0.008
ACHIEVE, CAPABLE,0.008
ACHIEVE, COMPLETE,0.008
ACHIEVE, DECEIVE,0.008
ACHIEVE, DESIRE,0.008
ACHIEVE, EVERYTHING,0.008
ACHIEVE, EXCEL,0.008
ACHIEVE, GOOD,0.008
ACHIEVE, HIGHEST,0.008
ACHIEVE, LEARN,0.008
ACHIEVE, MAKE,0.008
ACHIEVE, OBTAIN,0.008
ACHIEVE, OVERCOME,0.008
ACHIEVE, SCHOLARSHIP,0.008
ACHIEVE, TROPHIES,0.008
ACHIEVE, UNDERACHIEVER,0.008
ACHIEVE, WINNER,0.008
ACHIEVE, WORK,0.008
ACHIEVEMENT, ACHIEVER,0.007
ACHIEVEMENT, CHALLENGE,0.007
ACHIEVEMENT, CONFIDENCE,0.007
ACHIEVEMENT, DISAPPOINTMENT,0.007
ACHIEVEMENT, EFFORT,0.007
ACHIEVEMENT, GAINING,0.007
ACHIEVEMENT, GOOD,0.007
ACHIEVEMENT, HAPPY,0.007
ACHIEVEMENT, HIGH,0.007
ACHIEVEMENT, LOSE,0.007
ACHIEVEMENT, LOST,0.007
ACHIEVEMENT, PRESIDENT,0.007
ACHIEVEMENT, PROGRESS,0.007
ACHIEVEMENT, RESULTS,0.007
ACHIEVEMENT, SATISFACTION,0.007
ACHIEVEMENT, SCHOLASTIC,0.007
ACHIEVEMENT, SCHOOL,0.007
ACHIEVEMENT, SCORES,0.007
ACHIEVEMENT, SMART,0.007
ACHIEVEMENT, STRIVE,0.007
ACHIEVEMENT, STUDIES,0.007
ACHIEVEMENT, TRY,0.007
ACID, AMINO,0.007
ACID, BAD,0.007
ACID, DEADLY,0.007
ACID, DIP,0.007
ACID, DISINTEGRATE,0.007
ACID, HARMFUL,0.007
ACID, HIPPIES,0.007
ACID, HOLE,0.007
ACID, HOT,0.007
ACID, INDIGESTION,0.007
ACID, LEMON,0.007
ACID, MATERIAL,0.007
ACID, PH,0.007
ACID, POISON,0.007
ACID, POOL,0.007
ACID, RAT,0.007
ACID, SCORTCH,0.007
ACID, SEVENTIES,0.007
ACID, SIXTIES,0.007
ACID, SKIN,0.007
ACID, STOMACH ACHE,0.007
ACID, WASTE,0.007
ACKNOWLEDGE, ANSWER,0.007
ACKNOWLEDGE, ATTENTION,0.007
ACKNOWLEDGE, AVE,0.007
ACKNOWLEDGE, AWARD,0.007
ACKNOWLEDGE, BOOK,0.007
ACKNOWLEDGE, CARD,0.007
ACKNOWLEDGE, COMMEND,0.007
ACKNOWLEDGE, CONDONE,0.007
ACKNOWLEDGE, DENY,0.007
ACKNOWLEDGE, DICTIONARY,0.007
ACKNOWLEDGE, FACT,0.007
ACKNOWLEDGE, GRADE,0.007
ACKNOWLEDGE, GRATITUDE,0.007
ACKNOWLEDGE, HELP,0.007
ACKNOWLEDGE, HI,0.007
ACKNOWLEDGE, IMPORTANT,0.007
ACKNOWLEDGE, LEARNING,0.007
ACKNOWLEDGE, LIKE,0.007
ACKNOWLEDGE, LISTEN,0.007
ACKNOWLEDGE, ME,0.007
ACKNOWLEDGE, OTHER,0.007
ACKNOWLEDGE, PERMISSION,0.007
ACKNOWLEDGE, PRAISE,0.007
ACKNOWLEDGE, PROBLEM,0.007
ACKNOWLEDGE, REMEMBER,0.007
ACKNOWLEDGE, REWARD,0.007
ACKNOWLEDGE, SIGN,0.007
ACKNOWLEDGE, THANKFUL,0.007
ACKNOWLEDGE, YOU,0.007
ACORN, CRUNCH,0.007
ACORN, ELM,0.007
ACORN, FAIRYTALE,0.007
ACORN, FALL,0.007
ACORN, FRUIT,0.007
ACORN, HARD,0.007
ACORN, LAND,0.007
ACORN, OAK,0.007
ACORN, PINE,0.007
ACORN, ROUND,0.007
ACORN, WOODS,0.007
ACQUIRE, ACHIEVE,0.007
ACQUIRE, AIDS,0.007
ACQUIRE, APPRECIATE,0.007
ACQUIRE, BORROW,0.007
ACQUIRE, BUYER,0.007
ACQUIRE, CAR,0.007
ACQUIRE, COME,0.007
ACQUIRE, CONCEIVE,0.007
ACQUIRE, DESIRE,0.007
ACQUIRE, FIND,0.007
ACQUIRE, GATHER,0.007
ACQUIRE, GIFTS,0.007
ACQUIRE, INQUIRE,0.007
ACQUIRE, LEADER,0.007
ACQUIRE, LEARN,0.007
ACQUIRE, LIKE,0.007
ACQUIRE, LOOSE,0.007
ACQUIRE, PURCHASE,0.007
ACQUIRE, RETAIN,0.007
ACQUIRE, VALUABLES,0.007
ACRE, ACRID,0.008
ACRE, ANCIENT,0.008
ACRE, ANGLES,0.008
ACRE, DESERT,0.008
ACRE, FIELD,0.008
ACRE, GRASS,0.008
ACRE, HECTARE,0.008
ACRE, LARGE,0.008
ACRE, LENGTH,0.008
ACRE, MEASURE,0.008
ACRE, SECTION,0.008
ACRE, TRACT,0.008
ACROBAT, AGILE,0.006
ACROBAT, BALANCE,0.006
ACROBAT, COLORS,0.006
ACROBAT, CRAZY,0.006
ACROBAT, ENERGETIC,0.006
ACROBAT, FALL,0.006
ACROBAT, FRUIT,0.006
ACROBAT, GRACEFUL,0.006
ACROBAT, HEIGHT,0.006
ACROBAT, HIGH,0.006
ACROBAT, INCREDIBLE,0.006
ACROBAT, LOVE,0.006
ACROBAT, MAGICIAN,0.006
ACROBAT, PERSON,0.006
ACROBAT, PLACE,0.006
ACROBAT, PLANE,0.006
ACROBAT, RISK,0.006
ACROBAT, ROBOT,0.006
ACROBAT, ROLL,0.006
ACROBAT, SHAPE,0.006
ACROBAT, SILLY,0.006
ACROBAT, SKY,0.006
ACROBAT, STUPID,0.006
ACROBAT, TRICKS,0.006
ACROBAT, TUMBLE,0.006
ACROBAT, UNKNOWN,0.006
ACROBAT, WIRE,0.006
ACT, ACCOMPLISH,0.007
ACT, ACTRESS,0.007
ACT, CAREER,0.007
ACT, CREATE,0.007
ACT, DON'T,0.007
ACT, GO,0.007
ACT, GOOD,0.007
ACT, HYPOCRISY,0.007
ACT, IMITATE,0.007
ACT, KEEP,0.007
ACT, ONE,0.007
ACT, PANTOMIME,0.007
ACT, PARTY,0.007
ACT, PEOPLE,0.007
ACT, PURSUE,0.007
ACT, REASON,0.007
ACT, ROLL,0.007
ACT, SAY,0.007
ACT, SCENE,0.007
ACT, STUPID,0.007
ACT, TAKE III,0.007
ACT, TALENT,0.007
ACT, TELEVISION,0.007
ACT, UPON,0.007
ACT, VENGEANCE,0.007
ACTION, ACT,0.007
ACTION, ACTIVE,0.007
ACTION, ACTOR,0.007
ACTION, ADVANTAGE,0.007
ACTION, DONE,0.007
ACTION, DULL,0.007
ACTION, ENTERTAINMENT,0.007
ACTION, FIGURE,0.007
ACTION, FIGURE,0.007
ACTION, HURRY,0.007
ACTION, JUMP,0.007
ACTION, MAN,0.007
ACTION, OCCURRENCE,0.007
ACTION, PASSIVE,0.007
ACTION, PASSIVE,0.007
ACTION, PEACE,0.007
ACTION, PLAY,0.007
ACTION, POWER,0.007
ACTION, PROBLEM,0.007
ACTION, RACING,0.007
ACTION, RESPONSE,0.007
ACTION, REST,0.007
ACTION, RESULT,0.007
ACTION, SEDENTARY,0.007
ACTION, SHOW,0.007
ACTION, SPORTS,0.007
ACTION, STEP,0.007
ACTION, TASK,0.007
ACTION, TELEVISION,0.007
ACTION, WAY,0.007
ACTION, WORDS,0.007
ACTIVE, ALUMNI,0.007
ACTIVE, ALWAYS,0.007
ACTIVE, BORED,0.007
ACTIVE, COUCH-POTATO,0.007
ACTIVE, CURRENT,0.007
ACTIVE, DOG,0.007
ACTIVE, DRY,0.007
ACTIVE, DUTY,0.007
ACTIVE, ENERGETIC,0.007
ACTIVE, EXCITED,0.007
ACTIVE, FOOTBALL,0.007
ACTIVE, HAVE A GOOD SOCIAL LIFE,0.007
ACTIVE, IN SHAPE,0.007
ACTIVE, INDOLENT,0.007
ACTIVE, JOB,0.007
ACTIVE, JOCK,0.007
ACTIVE, ME,0.007
ACTIVE, MOVE,0.007
ACTIVE, MOVEMENT,0.007
ACTIVE, NERVOUS,0.007
ACTIVE, NON ACTIVE,0.007
ACTIVE, OUTGOING,0.007
ACTIVE, PHYSICAL,0.007
ACTIVE, POPULAR,0.007
ACTIVE, REST,0.007
ACTIVE, SEDENTARY,0.007
ACTIVE, SEXUALLY,0.007
ACTIVE, SHAPE,0.007
