Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,# Mediated Associates,# Non-Normed Potential Mediators,Shared Associate Strength,# Shared Associates,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Cue Concreteness(Scale 1-7),Cue Homograph? (Letter=Yes),Cue Part of Speech,Mean Cue Connectivity,Cue Connectivity Strength,Cue Resonance Probability,Cue Resonance Strength,Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F),Target Concreteness(Scale 1-7),Target Homograph? (Letter=Yes),Target Part of Speech,Mean Target Connectivity,Target Connectivity Strength,Target Resonance Probability,Target Resonance Strength,# of Other Associate Links to Target,Strength of Other Associate Links to Target
TAB,PULL,YES,148,3,0.02,0,0,0,1,0,0,16,14,0.672,1,missing,N,N,2.2,4.57,0,1,10,9,0.85,51,3.4,,,0.67,2.32,0.67,2.29,missing,missing
TAB,SODA,YES,148,23,0.155,0,0.0262,4,1,0.0318,5,16,10,0.327,1,missing,N,N,2.2,4.57,0,1,12,6,0.097,3,5.96,,,1.8,2.94,0.7,1.8,missing,missing
TAB,TOTAL,YES,148,2,0.014,0,0,0,1,0,0,16,14,0.678,1,missing,N,N,2.2,4.57,0,1,6,6,0.762,211,3.62,,,1.67,1.37,0.33,1.23,missing,missing
TAB,TYPEWRITER,YES,148,3,0.02,0,0,0,1,0.0002,1,16,13,0.658,1,missing,N,N,2.2,4.57,0,1,17,15,0.861,10,5.82,,,2.38,3.91,0.31,1.21,missing,missing
TAB,WATER,YES,148,2,0.014,0,0.0082,1,1,0.009,1,16,13,0.624,1,missing,N,N,2.2,4.57,0,1,18,17,0.555,442,6.27,,,2,3.99,0.94,4.77,missing,missing
TABLE,CHAIR,YES,156,118,0.756,0.314,0.0079,2,1,0.0031,2,10,6,0.116,198,6,,,0.67,1.83,0.33,1.41,14,10,0.411,66,6.12,,,2.46,4.65,0.85,3.75,2,0.473
TABLE,CLOTH,YES,156,4,0.026,0.012,0,0,1,0,0,10,8,0.878,198,6,,,0.67,1.83,0.33,1.41,21,20,0.875,40,5.76,,,2.9,4.81,0.52,2.05,0,0
TABLE,DESK,YES,156,3,0.019,0.09,0.0144,1,1,0.2212,2,10,6,0.11,198,6,,,0.67,1.83,0.33,1.41,18,15,0.388,65,5.79,,,3.17,6.48,0.33,1.3,1,0.019
TABLE,DINNER,YES,156,3,0.019,0,0,0,1,0.003,1,10,7,0.859,198,6,,,0.67,1.83,0.33,1.41,5,4,0.807,91,5.38,,,3.4,3.06,0.6,2.03,missing,missing
TABLE,EAT,YES,156,4,0.026,0,0.0022,1,1,0,0,10,7,0.859,198,6,,,0.67,1.83,0.33,1.41,11,10,0.74,61,4.75,,,1.2,2.21,0.7,1.97,missing,missing
TABLE,LEGS,YES,156,2,0.013,0,0,0,1,0,0,10,8,0.891,198,6,,,0.67,1.83,0.33,1.41,13,11,0.88,58,6.04,,,1.18,2.2,0.46,2.25,missing,missing
TABLE,SETTING,NO,156,2,0.013,0,0,0,0,0,0,10,9,0.904,198,6,,,0.67,1.83,0.33,1.41,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TABLE,SIT,YES,156,2,0.013,0,0.1603,1,1,0.1383,1,10,7,0.135,198,6,,,0.67,1.83,0.33,1.41,14,11,0.682,67,4.33,,,1.17,1.93,0.58,2.07,missing,missing
TABLE,TENNIS,YES,156,2,0.013,0,0,0,1,0,0,10,8,0.891,198,6,,,0.67,1.83,0.33,1.41,9,9,0.893,15,5.54,,,1.67,2.22,0.89,2.14,missing,missing
TABLE,TOP,YES,156,3,0.019,0,0.002,1,1,0,0,10,7,0.866,198,6,,,0.67,1.83,0.33,1.41,11,11,0.894,204,4.31,T,N,0.82,2.61,0.55,1.82,missing,missing
TABLET,ASPIRIN,YES,151,24,0.159,0.015,0.0319,3,2,0.0077,2,17,11,0.296,3,missing,G,N,2,3.9,0.13,1.04,10,7,0.696,3,5.7,,,2.6,2.92,0.8,1.91,3,0.448
TABLET,CAPSULE,NO,151,3,0.02,0,0,0,0,0,0,17,15,0.76,3,missing,G,N,2,3.9,0.13,1.04,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TABLET,CHAIR,YES,151,2,0.013,0,0,0,2,0,0,17,14,0.747,3,missing,G,N,2,3.9,0.13,1.04,14,13,0.956,66,6.12,,,2.46,4.65,0.85,3.75,missing,missing
TABLET,COMMANDMENTS,NO,151,7,0.046,0,0,0,0,0,0,17,15,0.76,3,missing,G,N,2,3.9,0.13,1.04,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TABLET,GLASS,YES,151,2,0.013,0,0,0,2,0.0005,1,17,13,0.727,3,missing,G,N,2,3.9,0.13,1.04,21,19,0.82,99,6.31,T,N,1.55,3.14,0.65,2.32,missing,missing
TABLET,MEDICINE,YES,151,9,0.06,0,0.0611,4,2,0.0211,4,17,9,0.263,3,missing,G,N,2,3.9,0.13,1.04,27,22,0.539,30,5.27,,,2.42,7.52,0.39,1.86,missing,missing
TABLET,NOTES,YES,151,2,0.013,0,0,0,2,0.0184,2,17,12,0.602,3,missing,G,N,2,3.9,0.13,1.04,17,15,0.639,57,6.2,G,N,2.29,3.53,0.18,1.18,missing,missing
TABLET,PAD,YES,151,3,0.02,0,0,0,2,0.0479,3,17,11,0.582,3,missing,G,N,2,3.9,0.13,1.04,13,10,0.332,8,5.85,,,1.62,3.98,0.15,1.08,missing,missing
TABLET,PAPER,YES,151,20,0.132,0,0.0115,4,2,0.0058,2,17,10,0.569,3,missing,G,N,2,3.9,0.13,1.04,15,12,0.411,157,5.96,,,1.07,3.4,0.64,1.96,missing,missing
TABLET,PEN,YES,151,2,0.013,0,0.044,4,2,0.0152,2,17,10,0.569,3,missing,G,N,2,3.9,0.13,1.04,4,2,0.746,18,5.59,N,N,2,1.47,1,2.6,missing,missing
TABLET,PILL,YES,151,33,0.219,0.028,0.0079,3,2,0.0284,6,17,8,0.243,3,missing,G,N,2,3.9,0.13,1.04,14,5,0.212,15,5.88,,,1.55,0,0.36,0,3,0.256
TABLET,SICK,YES,151,2,0.013,0,0.0194,3,2,0.001,1,17,11,0.442,3,missing,G,N,2,3.9,0.13,1.04,13,12,0.812,51,3.89,,,2.23,2.08,0.92,4.82,missing,missing
TABLET,STONE,YES,151,4,0.026,0,0,0,2,0,0,17,14,0.734,3,missing,G,N,2,3.9,0.13,1.04,10,9,0.825,58,6.32,,,0.78,1.83,0.22,1.58,missing,missing
TABLET,TYLENOL,YES,151,4,0.026,0,0.0084,1,2,0.0736,4,17,10,0.283,3,missing,G,N,2,3.9,0.13,1.04,11,6,0.368,0,missing,,,4.4,5.04,0.4,1.33,missing,missing
TABLET,VITAMIN,YES,151,3,0.02,0,0.0031,1,2,0.0285,1,17,13,0.521,3,missing,G,N,2,3.9,0.13,1.04,14,7,0.371,5,missing,,,1,0,0.38,0,missing,missing
TABLET,WATER,YES,151,3,0.02,0,0.0041,3,2,0,0,17,11,0.448,3,missing,G,N,2,3.9,0.13,1.04,18,18,0.722,442,6.27,,,2,3.99,0.94,4.77,missing,missing
TABLET,WRITE,YES,151,2,0.013,0,0.0211,3,2,0.0157,2,17,11,0.582,3,missing,G,N,2,3.9,0.13,1.04,16,14,0.635,106,4.42,,,2.25,4.73,0.81,3.45,missing,missing
TABOO,BAD,YES,197,20,0.102,0,0.0144,9,4,0,0,24,10,0.13,3,1.96,,,1.7,2.2,0.1,1.03,9,9,0.887,142,3,,,0.33,2.33,0.56,1.99,missing,missing
TABOO,CURSE,YES,197,3,0.015,0,0.002,1,4,0.0154,5,24,14,0.298,3,1.96,,,1.7,2.2,0.1,1.03,16,7,0.297,11,4.02,,,2,0,0.27,0,missing,missing
TABOO,EVIL,YES,197,11,0.056,0,0.0042,3,4,0.0152,2,24,15,0.308,3,1.96,,,1.7,2.2,0.1,1.03,11,9,0.701,72,2.28,,,2.09,5.09,0.73,1.83,missing,missing
TABOO,FORBIDDEN,YES,197,12,0.061,0.021,0,0,4,0.006,4,24,15,0.328,3,1.96,,,1.7,2.2,0.1,1.03,20,11,0.357,0,3.44,,,1.31,1.78,0.06,1.06,0,0
TABOO,HEX,NO,197,2,0.01,0,0,0,0,0,0,24,20,0.572,3,1.96,,,1.7,2.2,0.1,1.03,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TABOO,IMMORAL,YES,197,2,0.01,0,0,0,4,0.0177,3,24,16,0.409,3,1.96,,,1.7,2.2,0.1,1.03,8,5,0.311,5,1.81,,,1.12,1.4,0.25,1.1,missing,missing
TABOO,INCEST,NO,197,4,0.02,0,0,0,0,0,0,24,20,0.572,3,1.96,,,1.7,2.2,0.1,1.03,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TABOO,INDIAN,YES,197,2,0.01,0,0,0,4,0,0,24,19,0.562,3,1.96,,,1.7,2.2,0.1,1.03,17,14,0.64,52,6.18,,,0.36,1.22,0.5,3.6,missing,missing
TABOO,JINX,NO,197,2,0.01,0,0,0,0,0,0,24,20,0.572,3,1.96,,,1.7,2.2,0.1,1.03,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TABOO,MYTH,YES,197,4,0.02,0,0.0005,1,4,0,0,24,18,0.527,3,1.96,,,1.7,2.2,0.1,1.03,19,18,0.825,35,3.18,,,2.94,5.74,0.22,1.12,missing,missing
TABOO,NO,YES,197,12,0.061,0,0.0044,2,4,0.0014,1,24,16,0.338,3,1.96,,,1.7,2.2,0.1,1.03,9,6,0.891,2201,3.14,,,0.57,1.13,0.71,2.25,missing,missing
TABOO,NORM,YES,197,2,0.01,0,0,0,4,0.0004,1,24,18,0.526,3,1.96,,,1.7,2.2,0.1,1.03,26,22,0.774,10,2.18,,,2.91,5.3,0.17,1.06,missing,missing
TABOO,OLD,YES,197,2,0.01,0,0,0,4,0,0,24,19,0.562,3,1.96,,,1.7,2.2,0.1,1.03,9,8,0.873,660,3.41,,,0.38,1.06,0.75,3.77,missing,missing
TABOO,RESTRICTION,YES,197,2,0.01,0,0.0013,1,4,0.0009,1,24,17,0.44,3,1.96,,,1.7,2.2,0.1,1.03,14,10,0.5,8,missing,,,0.73,0,0.18,0,missing,missing
TABOO,SACRED,YES,197,2,0.01,0,0.0008,1,4,0,0,24,18,0.501,3,1.96,,,1.7,2.2,0.1,1.03,21,19,0.644,38,missing,,,2.16,3.77,0.11,1.08,missing,missing
TABOO,SEX,YES,197,3,0.015,0,0.0003,1,4,0,0,24,18,0.547,3,1.96,,,1.7,2.2,0.1,1.03,15,14,0.662,84,5.33,,,1.71,3.47,0.57,2.04,missing,missing
TABOO,SIGN,YES,197,2,0.01,0,0,0,4,0,0,24,19,0.562,3,1.96,,,1.7,2.2,0.1,1.03,15,15,0.802,94,5.16,N,N,1.73,3.38,0.33,1.37,missing,missing
TABOO,SPELL,YES,197,2,0.01,0,0.0012,2,4,0.0039,3,24,14,0.318,3,1.96,,,1.7,2.2,0.1,1.03,21,16,0.726,19,3.49,N,V,1.58,4.08,0.16,1.13,missing,missing
TABOO,SUPERSTITION,YES,197,5,0.025,0,0.0016,1,4,0.0038,4,24,15,0.426,3,1.96,,,1.7,2.2,0.1,1.03,27,19,0.529,8,missing,,,1.52,3.05,0.04,1.03,missing,missing
TABOO,TATTOO,NO,197,2,0.01,0,0,0,0,0,0,24,20,0.572,3,1.96,,,1.7,2.2,0.1,1.03,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TABOO,VOODOO,YES,197,12,0.061,0.013,0.0003,1,4,0.0064,7,24,12,0.263,3,1.96,,,1.7,2.2,0.1,1.03,20,6,0.463,2,missing,,,2.29,0,0.14,0,1,0.013
TABOO,WEIRD,YES,197,2,0.01,0,0.0011,2,4,0,0,24,17,0.476,3,1.96,,,1.7,2.2,0.1,1.03,15,13,0.772,10,2.39,,,3.69,3.9,0.85,2.33,missing,missing
TABOO,WITCH,YES,197,6,0.03,0,0.0129,5,4,0.0074,2,24,13,0.273,3,1.96,,,1.7,2.2,0.1,1.03,22,16,0.599,5,5.28,,,1,0,0.28,0,missing,missing
TABOO,WRONG,YES,197,7,0.036,0,0.003,3,4,0.0042,1,24,15,0.404,3,1.96,,,1.7,2.2,0.1,1.03,6,5,0.839,129,2.6,,,0.67,1.02,0.67,2.34,missing,missing
TACK,BOARD,YES,127,3,0.024,0,0,0,0,0.0036,1,12,10,0.528,4,5.64,T,N,0.67,2.64,0.17,1.07,21,18,0.643,239,6.87,N,N,0.63,1.58,0.42,2.73,missing,missing
TACK,FOOT,YES,127,2,0.016,0,0,0,0,0,0,12,11,0.717,4,5.64,T,N,0.67,2.64,0.17,1.07,9,9,0.917,70,3.46,N,N,1.11,1.22,0.67,2.8,missing,missing
TACK,HAMMER,YES,127,5,0.039,0,0.1126,1,0,0.1448,1,12,10,0.513,4,5.64,T,N,0.67,2.64,0.17,1.07,7,6,0.139,9,5.77,,,0.57,1.11,0.57,2.14,missing,missing
TACK,HORSE,YES,127,6,0.047,0,0,0,0,0,0,12,11,0.686,4,5.64,T,N,0.67,2.64,0.17,1.07,16,13,0.781,117,6.03,,,1.15,2.03,0.77,4.71,missing,missing
TACK,NAIL,YES,127,23,0.181,0,0.0607,3,0,0.0243,1,12,8,0.324,4,5.64,T,N,0.67,2.64,0.17,1.07,6,5,0.282,6,5.6,T,N,0.33,0.94,0.67,2.12,missing,missing
TACK,PICTURE,YES,127,2,0.016,0,0,0,0,0,0,12,11,0.717,4,5.64,T,N,0.67,2.64,0.17,1.07,11,10,0.775,162,6.75,,,1.5,1.31,0.9,3.89,missing,missing
TACK,PIN,YES,127,10,0.079,0,0.0051,2,0,0.0095,2,12,9,0.528,4,5.64,T,N,0.67,2.64,0.17,1.07,15,12,0.533,16,5.81,,,1.14,3.32,0.57,1.48,missing,missing
TACK,SHARP,YES,127,13,0.102,0,0.0053,1,0,0.0028,1,12,10,0.552,4,5.64,T,N,0.67,2.64,0.17,1.07,18,16,0.834,72,4.12,N,AJ,2.24,4.95,0.59,2.25,missing,missing
TACK,SIT,YES,127,2,0.016,0,0,0,0,0,0,12,11,0.717,4,5.64,T,N,0.67,2.64,0.17,1.07,14,12,0.865,67,4.33,,,1.17,1.93,0.58,2.07,missing,missing
TACK,STAPLE,YES,127,3,0.024,0.022,0,0,0,0,0,12,11,0.709,4,5.64,T,N,0.67,2.64,0.17,1.07,11,10,0.73,1,5.83,N,N,0.91,1.94,0.27,1.81,0,0
TACK,STICK,YES,127,3,0.024,0,0.0088,1,0,0.0048,1,12,10,0.63,4,5.64,T,N,0.67,2.64,0.17,1.07,24,20,0.678,39,6,N,N,1.24,3.6,0.33,1.81,missing,missing
TACK,THUMB,YES,127,21,0.165,0.054,0,0,0,0.0319,1,12,10,0.387,4,5.64,T,N,0.67,2.64,0.17,1.07,8,4,0.629,10,6.58,,,0.83,1.84,0.5,1.51,0,0
TACKLE,ATTACK,YES,147,6,0.041,0,0,0,0,0.0018,1,11,9,0.784,10,missing,,,0.82,1.97,0.18,1.07,20,19,0.778,105,3.87,,,2.7,4.89,0.2,1.3,missing,missing
TACKLE,BAIT,YES,147,14,0.095,0.06,0.0025,1,0,0.0598,1,11,8,0.546,10,missing,,,0.82,1.97,0.18,1.07,8,5,0.218,2,missing,,,1.14,1.8,0.29,1.1,1,0.023
TACKLE,BALL,YES,147,2,0.014,0,0.0126,1,0,0.0155,1,11,9,0.47,10,missing,,,0.82,1.97,0.18,1.07,17,16,0.722,110,6.08,N,N,1.76,3.13,0.65,2.86,missing,missing
TACKLE,BOX,YES,147,10,0.068,0,0.0016,1,0,0,0,11,9,0.757,10,missing,,,0.82,1.97,0.18,1.07,15,15,0.713,70,5.91,N,N,0.73,2.3,0.67,2.32,missing,missing
TACKLE,DEFENSE,YES,147,2,0.014,0,0,0,0,0.0235,2,11,8,0.45,10,missing,,,0.82,1.97,0.18,1.07,18,14,0.623,167,missing,,,1.69,3.21,0.06,1.64,missing,missing
TACKLE,DOWN,YES,147,2,0.014,0,0,0,0,0,0,11,10,0.831,10,missing,,,0.82,1.97,0.18,1.07,10,10,0.872,895,3.23,W,AD,0.6,1.52,0.8,2.26,missing,missing
TACKLE,FIGHT,YES,147,3,0.02,0,0.0044,2,0,0.0055,1,11,7,0.702,10,missing,,,0.82,1.97,0.18,1.07,24,21,0.62,98,4.16,,,2.05,4.01,0.5,4.37,missing,missing
TACKLE,FISH,YES,147,14,0.095,0,0.0746,2,0,0,0,11,8,0.546,10,missing,,,0.82,1.97,0.18,1.07,24,23,0.808,35,5.84,G,N,1.26,3.53,0.74,4.53,missing,missing
TACKLE,FISHING,YES,147,16,0.109,0,0,0,0,0.0151,2,11,8,0.546,10,missing,,,0.82,1.97,0.18,1.07,15,12,0.636,32,5.05,,,2,4.49,0.5,1.86,missing,missing
TACKLE,FOOTBALL,YES,147,53,0.361,0.014,0.0015,2,0,0.0005,1,11,8,0.456,10,missing,,,0.82,1.97,0.18,1.07,23,19,0.716,36,5.75,,,3.14,5.24,0.67,2.98,2,0.105
TACKLE,GRAB,YES,147,2,0.014,0,0,0,0,0,0,11,10,0.831,10,missing,,,0.82,1.97,0.18,1.07,18,16,0.778,16,missing,,,1.44,3.48,0.5,1.72,missing,missing
TACT,CAREFUL,YES,145,3,0.021,0,0.0019,1,3,0,0,15,10,0.272,6,3.1,,,1.58,1.46,0,1,14,12,0.681,62,missing,,,0.5,1.15,0.42,1.74,missing,missing
TACT,CLASS,YES,145,4,0.028,0,0.0006,1,3,0,0,15,10,0.265,6,3.1,,,1.58,1.46,0,1,23,23,0.827,207,5.03,G,N,2.83,6.51,0.61,2.01,missing,missing
TACT,COUTH,NO,145,4,0.028,0,0,0,0,0,0,15,12,0.341,6,3.1,,,1.58,1.46,0,1,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACT,DIPLOMACY,NO,145,4,0.028,0,0,0,0,0,0,15,12,0.341,6,3.1,,,1.58,1.46,0,1,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACT,FINESSE,NO,145,2,0.014,0,0,0,0,0,0,15,12,0.341,6,3.1,,,1.58,1.46,0,1,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACT,GOOD,YES,145,3,0.021,0,0.0047,5,3,0.0003,1,15,6,0.188,6,3.1,,,1.58,1.46,0,1,8,7,0.878,807,2.53,,,0.75,1.44,0.75,2.63,missing,missing
TACT,GRACE,YES,145,2,0.014,0,0.0006,1,3,0.0005,2,15,8,0.23,6,3.1,,,1.58,1.46,0,1,29,22,0.467,40,3.1,N,N,0.92,0,0.17,0,missing,missing
TACT,MANNERS,YES,145,4,0.028,0,0.0064,3,3,0.0184,3,15,6,0.105,6,3.1,,,1.58,1.46,0,1,15,10,0.504,15,missing,,,2.08,3.95,0.31,1.53,missing,missing
TACT,NEAT,YES,145,2,0.014,0,0,0,3,0.0004,1,15,10,0.299,6,3.1,,,1.58,1.46,0,1,12,10,0.778,21,3.1,,,2.36,3.42,0.55,2.1,missing,missing
TACT,NICE,YES,145,4,0.028,0,0.0409,5,3,0.0013,1,15,6,0.105,6,3.1,,,1.58,1.46,0,1,14,13,0.783,75,2.75,,,2.93,5.08,0.71,2.24,missing,missing
TACT,POLITE,YES,145,14,0.097,0,0.0067,2,3,0.0112,2,15,8,0.14,6,3.1,,,1.58,1.46,0,1,9,5,0.303,7,3.3,,,2.57,1.85,0.29,1.21,missing,missing
TACT,REASON,YES,145,2,0.014,0,0,0,3,0.0003,1,15,10,0.306,6,3.1,,,1.58,1.46,0,1,27,24,0.693,241,3.44,G,N,1.76,4.03,0.32,2.11,missing,missing
TACT,SMART,YES,145,2,0.014,0,0.0013,1,3,0,0,15,10,0.279,6,3.1,,,1.58,1.46,0,1,14,13,0.876,21,3,T,V,2,3.45,0.77,3.45,missing,missing
TACT,TACTFUL,YES,145,7,0.048,0,0,0,3,0.0103,8,15,3,0.042,6,3.1,,,1.58,1.46,0,1,18,4,0.09,2,missing,,,1.58,0,0,0,missing,missing
TACT,TOUCH,YES,145,2,0.014,0,0,0,3,0,0,15,11,0.327,6,3.1,,,1.58,1.46,0,1,10,10,0.902,87,4.48,,,1.6,2.6,0.6,1.56,missing,missing
TACTFUL,BLUNT,YES,154,3,0.019,0,0,0,6,0.0019,1,18,10,0.349,2,missing,,,missing,missing,missing,missing,20,16,0.631,9,missing,W,ADJ,0.47,1.97,0.12,1.05,missing,missing
TACTFUL,CAREFUL,YES,154,6,0.039,0,0,0,6,0,0,18,11,0.355,2,missing,,,missing,missing,missing,missing,14,12,0.681,62,missing,,,0.5,1.15,0.42,1.74,missing,missing
TACTFUL,CLASS,YES,154,2,0.013,0,0,0,6,0,0,18,11,0.381,2,missing,,,missing,missing,missing,missing,23,23,0.827,207,5.03,G,N,2.83,6.51,0.61,2.01,missing,missing
TACTFUL,DIPLOMATIC,NO,154,3,0.019,0,0,0,0,0,0,18,12,0.394,2,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACTFUL,GOOD,YES,154,3,0.019,0,0.0096,3,6,0.0013,1,18,8,0.207,2,missing,,,missing,missing,missing,missing,8,7,0.878,807,2.53,,,0.75,1.44,0.75,2.63,missing,missing
TACTFUL,GRACE,YES,154,2,0.013,0,0,0,6,0.0007,2,18,9,0.317,2,missing,,,missing,missing,missing,missing,29,22,0.467,40,3.1,N,N,0.92,0,0.17,0,missing,missing
TACTFUL,KIND,YES,154,5,0.032,0,0.0103,4,6,0.0402,1,18,7,0.142,2,missing,,,missing,missing,missing,missing,15,12,0.386,313,2.98,N,AJ,2.15,2.98,0.62,1.61,missing,missing
TACTFUL,MANNERS,YES,154,7,0.045,0,0.0018,2,6,0.0118,5,18,5,0.11,2,missing,,,missing,missing,missing,missing,15,8,0.421,15,missing,,,2.08,3.95,0.31,1.53,missing,missing
TACTFUL,NICE,YES,154,17,0.11,0,0.0283,5,6,0.0027,2,18,6,0.123,2,missing,,,missing,missing,missing,missing,14,12,0.735,75,2.75,,,2.93,5.08,0.71,2.24,missing,missing
TACTFUL,POLITE,YES,154,6,0.039,0,0.0089,2,6,0.0481,4,18,7,0.142,2,missing,,,missing,missing,missing,missing,9,3,0.063,7,3.3,,,2.57,1.85,0.29,1.21,missing,missing
TACTFUL,PRECISE,YES,154,2,0.013,0,0,0,6,0,0,18,11,0.381,2,missing,,,missing,missing,missing,missing,8,8,0.821,33,missing,,,1.25,1.77,0.25,1.52,missing,missing
TACTFUL,RUDE,YES,154,4,0.026,0,0.0099,3,6,0.0096,3,18,6,0.123,2,missing,,,missing,missing,missing,missing,20,16,0.646,6,2.95,,,2.47,4.93,0.26,1.71,missing,missing
TACTFUL,SKILLFUL,NO,154,7,0.045,0,0,0,0,0,0,18,12,0.394,2,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACTFUL,SMART,YES,154,4,0.026,0,0,0,6,0,0,18,11,0.368,2,missing,,,missing,missing,missing,missing,14,13,0.876,21,3,T,V,2,3.45,0.77,3.45,missing,missing
TACTFUL,TACKY,NO,154,4,0.026,0,0,0,0,0,0,18,12,0.394,2,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACTFUL,TASTEFUL,NO,154,6,0.039,0,0,0,0,0,0,18,12,0.394,2,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACTFUL,TASTELESS,NO,154,2,0.013,0,0,0,0,0,0,18,12,0.394,2,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TACTFUL,THOUGHTFUL,NO,154,4,0.026,0,0,0,0,0,0,18,12,0.394,2,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TAG,CAR,YES,152,6,0.039,0,0.0058,4,3,0,0,21,13,0.552,5,missing,N,N,1.11,1.72,0.11,1.18,25,22,0.798,274,6.35,,,2.5,4.42,0.91,5.52,missing,missing
TAG,CATCH,YES,152,2,0.013,0,0,0,3,0.002,1,21,16,0.57,5,missing,N,N,1.11,1.72,0.11,1.18,19,16,0.82,43,4.02,,,1.82,2.83,0.41,1.39,missing,missing
TAG,CLOTHES,YES,152,9,0.059,0,0.0035,3,3,0,0,21,14,0.604,5,missing,N,N,1.11,1.72,0.11,1.18,26,24,0.703,89,6.63,,,1.33,3.19,0.75,3.89,missing,missing
TAG,DOG,YES,152,3,0.02,0,0,0,3,0,0,21,17,0.708,5,missing,N,N,1.11,1.72,0.11,1.18,5,5,0.846,75,5.75,,,0.4,1,0.8,2.56,missing,missing
