Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
ACCOUNT,141,14,27,117,3.63,P,N,1.25,2.800,0.33,1.580,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ACCUMULATE,151,20,49,3,missing,,V,1.67,2.630,0.06,1.040,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ACCURATE,149,15,52,35,missing,,AJ,2.08,5.440,0.08,1.170,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ACCUSE,132,20,52,10,missing,,V,2.40,3.390,0.15,1.210,7,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ACE,145,15,38,15,3.78,T,N,0.23,1.590,0.08,1.030,5,0.02,14,0.01,missing,missing,-CE,2,0.31,,missing,missing
ACHE,144,7,14,4,4.33,,V,1.00,2.450,0.86,1.370,15,0.01,20,0.01,missing,missing,,missing,missing,,missing,missing
ACHIEVE,132,17,39,51,missing,,V,2.29,3.220,0.47,1.500,13,0.02,15,0.00,missing,missing,,missing,missing,,missing,missing
ACHIEVEMENT,149,17,39,65,3.15,,N,2.00,3.010,0.25,1.070,11,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ACID,147,15,37,13,missing,,N,0.71,1.150,0.29,1.260,13,0.00,14,0.00,missing,missing,,missing,missing,,missing,missing
ACKNOWLEDGE,145,22,51,12,2.86,,V,1.29,2.550,0.14,1.090,9,0.01,9,0.00,missing,missing,,missing,missing,,missing,missing
ACORN,139,6,17,1,missing,,N,1.33,1.690,0.17,1.060,3,0.04,12,0.00,missing,missing,,missing,missing,,missing,missing
ACQUIRE,146,17,37,27,missing,,V,2.94,4.520,0.25,1.110,7,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ACRE,126,9,21,9,5.91,,N,1.44,1.550,0.22,1.040,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ACROBAT,154,19,46,0,6.38,,N,missing,missing,missing,missing,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ACT,148,16,41,283,3.79,T,N,1.67,1.930,0.40,1.890,28,0.03,15,0.02,missing,missing,,missing,missing,A--,11,0.01
ACTION,138,20,51,291,3.00,G,N,1.53,3.530,0.37,1.430,31,0.03,10,0.06,missing,missing,,missing,missing,,missing,missing
ACTIVE,150,21,61,88,missing,,AJ,1.50,1.700,0.17,1.430,10,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ACTIVITY,150,22,53,116,missing,,N,3.29,4.840,0.10,1.040,9,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ACTOR,147,14,24,24,5.45,,N,1.45,2.350,0.55,1.680,25,0.01,5,0.03,missing,missing,---OR,11,0.01,,missing,missing
ACTRESS,152,11,39,6,missing,,N,1.91,1.790,0.09,1.580,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AD,151,19,47,11,missing,,N,1.82,3.480,0.12,1.050,8,0.00,15,0.00,missing,missing,,missing,missing,,missing,missing
ADD,178,11,16,88,2.95,,V,1.45,3.170,0.82,2.450,28,0.02,15,0.01,missing,missing,,missing,missing,,missing,missing
ADDICT,149,9,26,1,missing,,N,1.00,1.510,0.50,1.080,8,0.01,missing,missing,missing,missing,---ICT,3,0.05,,missing,missing
ADDICTION,146,8,21,3,missing,,N,1.43,1.930,0.43,1.070,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ADDITION,153,8,19,142,3.42,,N,1.86,2.050,0.14,1.510,6,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ADDRESS,150,16,30,77,missing,,V,1.50,3.340,0.14,1.060,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ADJECTIVE,138,11,24,2,2.92,,N,2.45,4.070,0.46,1.410,5,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ADJOURN,149,16,35,2,missing,,V,2.21,5.400,0.07,1.050,1,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
ADJUSTMENT,148,14,61,35,missing,,N,0.60,1.420,0.00,1.000,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ADMIRE,180,17,44,10,2.92,,V,1.80,3.420,0.47,1.340,9,0.06,11,0.00,missing,missing,,missing,missing,,missing,missing
ADMISSION,147,16,31,33,missing,,N,1.31,3.150,0.06,1.050,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ADMIT,145,18,51,37,missing,P,V,1.89,3.240,0.11,1.210,6,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ADOLESCENT,145,8,25,18,5.32,,AJ,3.38,3.750,0.63,1.250,9,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ADORABLE,148,8,23,3,missing,,AJ,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ADORE,154,7,24,2,missing,,V,2.43,3.140,0.29,1.050,4,0.01,28,0.01,missing,missing,--ORE,9,0.08,,missing,missing
ADORN,182,23,60,1,3.35,,V,1.29,3.220,0.05,1.030,1,0.10,12,0.02,missing,missing,,missing,missing,,missing,missing
ADULT,148,12,31,25,4.88,,N,2.27,4.330,0.55,1.590,17,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ADULTERY,150,11,47,3,missing,,N,1.00,1.550,0.11,1.070,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ADULTS,146,17,39,23,missing,,N,1.62,2.730,0.31,1.770,4,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVANCE,148,21,57,60,missing,T,V,1.74,3.740,0.11,1.050,3,0.00,missing,missing,missing,missing,---ANCE,7,0.05,,missing,missing
ADVENTURE,154,18,50,14,missing,,N,1.00,2.070,0.27,1.100,10,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVENTUROUS,143,23,62,5,2.46,,AJ,1.43,3.280,0.10,1.110,2,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVERB,146,12,22,1,3.39,,N,missing,missing,missing,missing,4,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVERSARY,152,12,50,5,missing,,N,2.18,2.980,0.27,1.060,3,0.17,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVERTISEMENT,152,18,46,2,missing,,N,2.65,4.820,0.18,1.330,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVICE,195,20,61,51,2.08,,N,1.74,4.030,0.21,1.150,10,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVIL,150,13,21,0,missing,,N,3.27,4.920,0.18,1.060,3,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ADVISE,153,19,63,10,missing,,V,2.00,2.690,0.13,1.050,6,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
AEROBICS,150,15,38,1,missing,,AJ,2.08,2.420,0.31,1.220,9,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
AFFAIR,148,19,50,33,missing,T,N,1.78,4.310,0.17,1.170,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AFFECT,152,16,52,35,missing,,V,0.93,2.830,0.13,1.120,4,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
AFFECTION,150,6,19,1,3.70,,N,1.50,2.550,0.33,1.090,3,0.01,21,0.05,missing,missing,,missing,missing,,missing,missing
AFRAID,144,9,33,57,3.32,,AJ,1.44,2.240,0.44,1.230,19,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AFRICA,145,16,43,45,5.92,,N,1.07,1.470,0.29,1.360,15,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
AFTER,154,10,23,1070,2.33,,PP,missing,missing,missing,missing,13,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AFTERNOON,146,20,34,106,3.71,,N,1.50,4.220,0.17,1.070,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
AGAIN,152,12,41,578,missing,,AD,2.64,3.120,0.46,1.540,19,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
AGAINST,144,16,47,626,missing,,PP,missing,missing,missing,missing,24,0.01,20,0.00,missing,missing,,missing,missing,,missing,missing
AGE,197,20,44,227,4.14,,N,missing,missing,missing,missing,21,0.02,9,0.01,missing,missing,,missing,missing,,missing,missing
AGENCY,148,19,59,56,missing,,N,2.18,3.970,0.12,1.020,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AGENDA,147,14,36,5,missing,,N,1.62,1.340,0.15,1.070,4,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
AGENT,146,24,52,44,missing,,N,1.48,2.990,0.24,1.280,6,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AGGRAVATE,152,11,34,1,missing,,V,2.67,4.150,0.44,1.180,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AGGRESSIVE,152,20,75,17,missing,,AJ,1.47,2.500,0.21,1.370,10,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AGONY,154,8,23,9,3.60,,N,0.71,2.120,0.14,1.030,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
AGREE,144,11,48,51,missing,,V,missing,missing,missing,missing,17,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
AGREEMENT,146,17,54,106,2.93,,N,missing,missing,missing,missing,9,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
AGRICULTURE,152,18,44,23,missing,,N,3.00,4.040,0.13,1.050,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
AHEAD,132,12,32,109,missing,,AD,1.33,3.090,0.42,1.220,11,0.02,20,0.00,missing,missing,,missing,missing,,missing,missing
AHOY,148,15,30,0,missing,,I,missing,missing,missing,missing,2,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
AID,148,7,18,130,3.68,,V,0.57,1.400,0.43,1.260,20,0.01,23,0.01,missing,missing,,missing,missing,A--,11,0.01
AIDS,152,14,33,27,missing,,N,0.83,1.910,0.08,1.150,7,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
AIM,146,13,26,37,3.40,,V,1.08,1.890,0.31,1.090,5,0.01,6,0.03,missing,missing,-IM,7,0.02,,missing,missing
AIR,148,17,32,257,5.67,T,N,1.00,2.210,0.65,2.700,61,0.01,25,0.01,missing,missing,,missing,missing,,missing,missing
AIR FORCE,150,15,33,0,missing,,N,2.33,0.000,0.42,0.000,9,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
AIRCRAFT,147,12,30,70,missing,,N,missing,missing,missing,missing,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
AIRPLANE,197,21,34,11,6.83,,N,2.62,4.870,0.29,1.930,23,0.04,38,0.01,missing,missing,,missing,missing,,missing,missing
AIRPORT,148,6,23,19,6.31,,N,1.20,1.460,0.00,1.000,12,0.01,19,0.00,missing,missing,,missing,missing,,missing,missing
AISLE,77,13,25,6,5.05,,N,missing,missing,missing,missing,4,0.01,15,0.02,missing,missing,,missing,missing,,missing,missing
ALARM,165,12,35,16,4.86,,N,1.00,2.990,0.33,1.160,16,0.01,7,0.16,missing,missing,,missing,missing,,missing,missing
ALBUM,150,8,19,6,missing,,N,missing,missing,missing,missing,4,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ALCOHOL,146,12,36,13,6.87,,N,2.70,3.140,0.70,1.420,44,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ALE,150,7,25,1,5.66,,N,missing,missing,missing,missing,2,0.05,28,0.02,missing,missing,--E,24,0.02,,missing,missing
ALERT,144,13,44,33,3.96,,AJ,0.82,2.010,0.36,1.270,12,0.03,15,0.01,missing,missing,,missing,missing,,missing,missing
ALGAE,147,16,29,7,missing,,N,2.80,4.560,0.27,1.150,5,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
ALGEBRA,139,9,22,2,4.85,,N,1.44,2.950,0.44,1.150,13,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ALIAS,79,13,33,1,3.10,,N,missing,missing,missing,missing,0,0.15,missing,missing,missing,missing,,missing,missing,,missing,missing
ALIBI,79,6,21,8,2.65,,N,missing,missing,missing,missing,1,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
ALIKE,147,7,12,20,2.83,,AJ,2.57,4.790,1.00,1.590,15,0.05,11,0.00,missing,missing,,missing,missing,,missing,missing
ALIVE,148,14,30,57,3.35,,AJ,2.33,3.220,0.42,1.530,21,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ALL,147,12,22,3001,2.63,,AJ,missing,missing,missing,missing,15,0.01,15,0.00,missing,missing,,missing,missing,,missing,missing
ALLEGIANCE,148,7,42,4,missing,,N,1.00,1.520,0.14,1.320,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ALLERGY,145,15,33,1,4.70,,N,2.21,3.600,0.21,1.110,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ALLEY,140,18,35,8,6.11,,N,1.28,4.220,0.17,1.100,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ALLIGATOR,128,13,30,4,6.45,,N,1.08,1.430,0.23,1.770,4,0.05,16,0.06,missing,missing,,missing,missing,,missing,missing
ALLOW,180,16,45,72,2.64,,V,1.73,1.720,0.33,2.010,19,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ALLY,79,3,6,9,4.10,,V,missing,missing,missing,missing,2,0.71,missing,missing,missing,missing,,missing,missing,,missing,missing
ALMANAC,148,18,43,1,missing,,N,missing,missing,missing,missing,0,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ALMIGHTY,152,8,28,5,missing,,AJ,0.86,1.550,0.14,1.050,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ALMOND,154,11,30,1,missing,,N,1.44,2.570,0.11,1.030,4,0.01,missing,missing,missing,missing,--MOND,2,0.03,,missing,missing
ALONE,149,19,46,195,3.81,,AJ,1.44,2.010,0.63,2.530,42,0.03,26,0.01,missing,missing,--ONE,9,0.02,,missing,missing
ALPHABET,153,11,16,2,missing,,N,0.50,1.330,0.25,1.210,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ALRIGHT,152,10,24,0,missing,,AD,missing,missing,missing,missing,0,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ALTER,180,4,19,15,4.26,,V,0.50,0.920,0.50,1.040,3,0.22,missing,missing,missing,missing,,missing,missing,,missing,missing
ALTERNATIVE,152,12,40,34,missing,,N,missing,missing,missing,missing,5,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
ALTO,148,15,28,4,missing,,N,missing,missing,missing,missing,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ALUMINUM,146,8,28,18,5.19,,N,1.75,2.360,0.75,1.760,7,0.01,18,0.00,missing,missing,,missing,missing,,missing,missing
ALWAYS,143,6,25,458,2.45,,AD,1.67,1.780,0.83,2.210,23,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
AMATEUR,149,15,50,25,missing,,N,missing,missing,missing,missing,5,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
AMAZE,153,16,48,3,missing,,V,missing,missing,missing,missing,3,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
AMBITION,148,18,50,19,3.21,,N,1.50,2.870,0.19,1.080,6,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
AMBULANCE,138,18,32,6,7.00,,N,1.72,4.630,0.22,1.240,4,0.01,10,0.00,missing,missing,,missing,missing,,missing,missing
AMERICA,151,13,31,194,missing,,N,2.00,2.240,0.33,1.360,22,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AMERICAN,145,19,60,569,missing,,AJ,1.12,1.750,0.29,1.610,19,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AMOUNT,149,15,26,172,3.62,,N,1.29,3.940,0.36,1.540,32,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
AMP,150,19,31,1,3.19,,N,3.22,5.780,0.11,1.080,3,0.05,12,0.01,missing,missing,,missing,missing,,missing,missing
AMUSE,180,14,30,3,3.17,,V,3.54,5.680,0.15,1.310,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ANALYSIS,142,21,66,108,2.94,,N,2.17,3.980,0.06,1.010,3,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ANALYZE,144,18,58,10,2.85,,V,missing,missing,missing,missing,7,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
ANARCHY,143,20,55,7,missing,,N,1.56,2.940,0.28,1.160,9,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
ANATOMY,145,13,22,9,missing,,N,1.58,2.810,0.25,1.160,7,0.00,33,0.00,missing,missing,,missing,missing,,missing,missing
ANCESTOR,153,18,37,7,missing,,N,missing,missing,missing,missing,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ANCHOR,126,10,29,15,5.91,,N,1.00,2.400,0.10,1.010,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ANCIENT,148,12,28,69,3.12,,AJ,1.50,3.740,0.33,1.090,13,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ANGEL,147,14,23,18,3.41,,N,1.29,1.680,0.36,2.000,13,0.07,missing,missing,missing,missing,---EL,17,0.03,ANG--,5,0.10
ANGER,119,14,33,48,3.75,,N,1.92,3.390,0.31,1.820,55,0.03,missing,missing,missing,missing,--GER,7,0.46,ANG--,5,0.41
ANGLE,151,16,40,51,5.19,T,V,missing,missing,missing,missing,6,0.01,missing,missing,missing,missing,,missing,missing,ANG--,5,0.32
ANGRY,148,9,28,45,3.75,,AJ,1.44,2.970,0.44,1.710,30,0.02,missing,missing,missing,missing,,missing,missing,ANG--,5,0.12
ANIMAL,184,28,49,68,5.65,,N,1.81,4.450,0.74,3.940,156,0.08,missing,missing,missing,missing,--IMAL,2,0.90,ANI---,2,0.76
ANIMALS,149,22,53,58,6.75,,N,1.74,5.370,0.11,1.250,13,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ANISETTE,148,10,42,0,missing,,N,1.00,0.800,0.00,1.000,1,0.62,missing,missing,missing,missing,,missing,missing,,missing,missing
ANKLE,143,16,31,8,7.00,,N,1.79,2.660,0.36,1.720,7,0.02,missing,missing,missing,missing,--KLE,1,0.81,AN---,9,0.10
ANNIHILATE,151,12,47,1,missing,,V,0.91,1.690,0.18,1.040,2,0.15,missing,missing,missing,missing,,missing,missing,,missing,missing
ANNIHILATION,79,6,20,6,2.73,,N,missing,missing,missing,missing,0,0.24,missing,missing,missing,missing,,missing,missing,,missing,missing
ANNOUNCE,145,19,51,18,3.13,,V,2.19,4.700,0.00,1.000,3,0.01,6,0.01,missing,missing,,missing,missing,,missing,missing
ANNOY,146,15,41,2,missing,,V,2.38,4.380,0.46,2.000,22,0.01,10,0.00,missing,missing,--N-Y,17,0.02,,missing,missing
ANNOYING,151,24,66,6,missing,,AJ,missing,missing,missing,missing,16,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ANNUAL,140,7,23,1,missing,W,AJ,0.60,1.160,0.00,1.000,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ANOTHER,146,17,42,683,missing,,AJ,missing,missing,missing,missing,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ANSWER,126,9,25,152,3.85,,N,1.44,2.250,0.67,3.390,55,0.01,missing,missing,missing,missing,----ER,37,0.00,,missing,missing
ANT,121,14,25,6,6.00,,N,1.93,4.340,0.36,1.600,11,0.08,11,0.00,missing,missing,,missing,missing,A--,11,0.37
ANTEATER,145,9,31,1,6.16,,N,1.38,2.530,0.25,1.080,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ANTELOPE,152,10,35,7,missing,,N,1.78,3.140,0.33,1.060,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ANTENNA,148,13,30,13,missing,,N,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ANTIDOTE,146,10,39,2,4.30,,N,2.00,2.950,0.11,1.040,1,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
ANTIQUE,150,10,29,12,4.78,,N,0.70,2.980,0.00,1.000,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ANTLER,148,9,22,3,5.98,,N,1.33,1.760,0.33,1.220,5,0.06,missing,missing,missing,missing,---LER,16,0.03,,missing,missing
ANTLERS,152,6,22,3,missing,,N,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ANXIETY,142,19,52,42,1.63,,N,2.84,3.410,0.26,1.160,12,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ANXIOUS,148,19,34,29,2.44,,AJ,2.75,3.580,0.50,1.350,18,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ANYTHING,152,8,19,280,missing,,P,missing,missing,missing,missing,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
APART,143,8,25,57,3.00,,AD,2.62,3.770,0.25,1.420,19,0.04,12,0.00,missing,missing,--ART,5,0.03,,missing,missing
APARTMENT,143,18,43,81,5.77,,N,1.65,2.770,0.24,1.270,19,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
APATHETIC,150,16,55,1,missing,,AJ,missing,missing,missing,missing,1,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
APATHY,144,10,37,3,3.60,,N,2.33,2.610,0.22,1.070,2,0.33,missing,missing,missing,missing,,missing,missing,,missing,missing
APE,146,10,21,3,6.40,,N,3.00,3.270,0.67,1.730,12,0.03,13,0.01,missing,missing,,missing,missing,A--,11,0.01
APEX,147,16,57,4,missing,,N,1.38,1.770,0.08,1.010,3,0.25,missing,missing,missing,missing,,missing,missing,,missing,missing
APOLOGY,154,14,37,3,2.60,,N,1.43,1.810,0.14,1.230,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
APOSTLE,79,13,24,2,3.78,,N,missing,missing,missing,missing,1,0.04,5,0.01,missing,missing,,missing,missing,,missing,missing
APPEAL,145,16,54,62,2.21,G,N,1.88,2.970,0.06,1.040,3,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
APPEAR,180,15,41,118,2.67,,V,1.33,4.620,0.20,1.420,5,0.02,missing,missing,missing,missing,----AR,10,0.00,,missing,missing
APPEARANCE,150,16,40,57,3.40,,N,2.07,3.480,0.07,1.100,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
APPENDAGE,140,11,29,1,5.03,,N,1.10,2.730,0.10,1.020,1,0.21,missing,missing,missing,missing,,missing,missing,,missing,missing
APPLE,149,17,30,9,7.00,,V,1.82,3.610,0.77,2.380,47,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
APPLIANCE,146,18,35,5,6.45,,N,1.93,4.600,0.20,1.070,4,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
APPLICATION,145,17,53,68,5.42,G,N,missing,missing,missing,missing,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
APPOINTMENT,148,13,32,28,missing,,N,0.82,1.510,0.09,1.030,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
APPRAISE,182,14,37,4,2.75,,N,1.54,1.690,0.08,1.030,1,0.37,20,0.00,missing,missing,,missing,missing,,missing,missing
APPROVAL,152,20,52,51,missing,,N,missing,missing,missing,missing,8,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
APRON,148,14,29,7,missing,,N,missing,missing,missing,missing,0,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ARCHANGEL,79,11,25,3,3.41,,N,missing,missing,missing,missing,0,0.30,missing,missing,missing,missing,,missing,missing,,missing,missing
ARCHETYPE,79,9,32,1,2.73,,N,missing,missing,missing,missing,0,0.35,missing,missing,missing,missing,,missing,missing,,missing,missing
ARCHITECT,152,16,42,22,missing,,N,1.88,3.310,0.19,1.070,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ARCHITECTURE,149,12,40,11,missing,,N,2.00,2.700,0.08,1.020,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ARCTIC,148,8,20,4,missing,,AJ,1.12,2.270,0.00,1.000,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
